round fs_size aged_time aged_layout_score
0 4136960 0.0519669055939 0.997035573123 
1 4136960 0.0596539974213 0.979249011858 
2 4136960 0.0641770362854 0.969367588933 
3 4136960 0.0632569789886 0.959486166008 
4 4136960 0.0777080059052 0.949604743083 
5 4136960 0.188374996185 0.938795656466 
6 4136960 0.300814151764 0.927936821323 
7 4136960 0.377608060837 0.918065153011 
8 4136960 0.331432104111 0.908284023669 
9 4136960 0.400943040848 0.89842209073 
10 4136960 0.425078868866 0.888560157791 
11 4136960 0.487769126892 0.878698224852 
12 4136960 0.449696063995 0.868965517241 
13 4136960 0.472242832184 0.859113300493 
14 4136960 0.576868057251 0.849261083744 
15 4136960 0.673227071762 0.839408866995 
16 4136960 0.668855190277 0.829556650246 
17 4136960 0.753691196442 0.819881889764 
18 4136960 0.741685152054 0.810039370079 
19 4136960 0.803776025772 0.800196850394 
20 4136960 0.797121047974 0.790354330709 
21 4136960 0.699671983719 0.780511811024 
22 4136960 0.807041883469 0.770669291339 
23 4136960 0.844722032547 0.761061946903 
24 4136960 0.844300985336 0.751229105211 
25 4136960 0.835919141769 0.74139626352 
26 4136960 0.896287202835 0.732546705998 
27 4136960 0.966643095016 0.722986247544 
28 4136960 1.01027584076 0.713163064833 
29 4136960 0.998253107071 0.703339882122 
30 4136960 0.959545850754 0.693817468106 
31 4136960 1.07549095154 0.684003925417 
32 4136960 1.03164386749 0.674190382728 
33 4136960 1.07173705101 0.664376840039 
34 4136960 1.08062505722 0.65456329735 
35 4136960 1.10049295425 0.644749754661 
36 4136960 1.16386389732 0.634936211973 
37 4136960 1.13880991936 0.625857002938 
38 4136960 1.29245018959 0.616062683643 
39 4136960 1.26072502136 0.605882352941 
40 4136960 1.20535898209 0.596078431373 
41 4136960 1.26428198814 0.586274509804 
42 4136960 1.37164211273 0.576470588235 
43 4136960 1.38662910461 0.566666666667 
44 4136960 1.38567495346 0.557296767875 
45 4136960 1.43647313118 0.547945205479 
46 4136960 1.43490195274 0.537634408602 
47 4136960 1.56411790848 0.52734375 
48 4136960 1.55575108528 0.517578125 
49 4136960 1.52908301353 0.5078125 
50 4136960 1.63993692398 0.498046875 
51 4136960 1.52830004692 0.48828125 
52 4136960 1.67228007317 0.478005865103 
53 4136960 1.63605999947 0.468230694037 
54 4136960 1.7266728878 0.458455522972 
55 4136960 1.69626903534 0.448680351906 
56 4136960 1.72026491165 0.438905180841 
57 4136960 1.75872707367 0.429130009775 
58 4136960 1.96658182144 0.4189453125 
59 4136960 2.15526795387 0.408780487805 
60 4136960 1.94035100937 0.399024390244 
61 4136960 1.91776299477 0.389863547758 
62 4136960 1.95052599907 0.380116959064 
63 4136960 2.01991081238 0.37037037037 
64 4136960 1.92917585373 0.360272638754 
65 4136960 1.91400003433 0.350535540409 
66 4136960 2.39589190483 0.34046692607 
67 4136960 2.21251893044 0.330087633885 
68 4136960 2.51813721657 0.32035053554 
69 4136960 2.4220161438 0.310613437196 
70 4136960 2.72704696655 0.300583657588 
71 4136960 2.08850502968 0.290856031128 
72 4136960 2.31186294556 0.281128404669 
73 4136960 2.32902193069 0.27140077821 
74 4136960 2.73270797729 0.261673151751 
75 4136960 2.5812830925 0.251945525292 
76 4136960 2.91706299782 0.242217898833 
77 4136960 2.65587997437 0.232490272374 
78 4136960 3.41202688217 0.223300970874 
79 4136960 2.61723804474 0.21359223301 
80 4136960 2.15237498283 0.202912621359 
81 4136960 2.47899103165 0.194174757282 
82 4136960 2.97303199768 0.184466019417 
83 4136960 2.69457197189 0.174757281553 
84 4136960 2.9975130558 0.164888457808 
85 4136960 2.89845490456 0.156159068865 
86 4136960 2.93988990784 0.146459747818 
87 4136960 1.95767092705 0.133850630456 
88 4136960 2.41198396683 0.125 
89 4136960 1.8874270916 0.115198451113 
90 4136960 2.38498306274 0.104347826087 
91 4136960 2.90242314339 0.0975845410628 
92 4136960 3.41077899933 0.087922705314 
93 4136960 3.20806717873 0.0781853281853 
94 4136960 3.07605695724 0.0685328185328 
95 4136960 3.55173587799 0.0588803088803 
96 4136960 2.74636816978 0.046332046332 
97 4136960 2.11595797539 0.0366795366795 
98 4136960 2.52201485634 0.027027027027 
99 4136960 4.20134401321 0.0173745173745 
100 4136960 2.60309815407 0.00482625482625 
