insertions,bins,balls,alpha,perc,observed,lower bound,upper bound
2.72,4124,30084,1.406284,1.191836,11.9892344498,7.32004736495,21.09426
2.73,4128,29648,1.38288,1.192992,12.946835443,7.20723415739,20.7432
2.74,4129,28776,1.383215,1.193281,11.8439153439,6.99364523274,19.36501
2.75,4130,29212,1.38355,1.1917115,13.3527950311,7.09797478474,20.75325
2.76,4132,28994,1.38422,1.190016,12.0393184797,7.04181929491,20.7633
2.77,4134,30084,1.38489,1.190592,11.2816091954,7.30318732384,20.77335
2.78,4139,29430,1.370009,1.192032,11.7205479452,7.13626604082,20.550135
2.79,4151,30084,1.373981,1.191337,13.3274456522,7.27513034506,20.609715
2.8,4154,30084,1.374974,1.192198,12.4014962594,7.27021001712,20.62461
2.81,4156,29648,1.375636,1.192772,12.717721519,7.16155241747,20.63454
2.82,4158,17876,1.359666,1.193346,11.5574136009,4.31600608813,12.236994
2.83,4165,29430,1.361955,1.195355,11.9014267185,7.09438928799,20.429325
2.84,4172,30084,1.364244,1.193192,12.3614627286,7.24072425077,20.46366
2.85,4172,30084,1.364244,1.193192,11.4742647059,7.24072425077,20.46366
2.86,4175,30084,1.365225,1.19405,12.3812664908,7.23586536324,20.478375
2.87,4177,30084,1.365879,1.194622,11.8586251621,7.23259560589,20.488185
2.88,4179,30084,1.341459,1.195194,11.4098360656,7.22928324449,20.121885
2.89,4192,30084,1.345632,1.19472,12.902284264,7.20857148989,20.18448
2.9,4203,30084,1.349163,1.197855,12.6122159091,7.19118996722,20.237445
2.91,4204,29866,1.349484,1.19814,12.1871275328,7.1375610808,20.24226
2.92,4210,29430,1.35141,1.19564,12.5317460317,7.02395445369,18.91974
2.93,4214,20274,1.352694,1.196776,11.5651074589,4.83441970062,13.52694
2.94,4228,30084,1.357188,1.200752,11.2645314353,7.15157345959,20.35782
2.95,4246,30084,1.362966,1.197372,12.5850066934,7.12352325172,20.44449
2.96,4256,28122,1.366176,1.200192,11.4163669065,6.64445234424,19.126464
2.97,4258,25724,1.366818,1.200756,11.1043165468,6.0752213772,17.768634
2.98,4264,24416,1.368744,1.202448,8.63477460902,5.75882763673,16.424928
2.99,4283,8502,1.374843,1.203523,8.84705882353,1.99708301054,5.499372
3.0,4297,28558,1.379337,1.20316,9.14795918367,6.68795413094,19.310718
3.01,4303,21146,1.381263,1.20484,10.0351035104,4.94581936204,13.81263
3.02,4309,28340,1.383189,1.20652,10.9911838791,6.61979382552,19.364646
3.03,4314,21146,1.384794,1.203606,10.5196078431,4.93406895163,13.84794
3.04,4342,29648,1.393782,1.207076,10.2155555556,6.87647251645,19.512948
3.05,4371,25288,1.403091,1.210767,11.2956431535,5.82965199158,16.837092
3.06,4377,29212,1.317477,1.212429,10.6389986825,6.7256041565,18.444678
3.07,4387,29430,1.320487,1.210812,10.5779036827,6.76140757299,18.486818
3.08,4391,28994,1.321691,1.211916,10.9479905437,6.65566246569,18.503674
3.09,4406,29430,1.326206,1.21165,8.35445544554,6.73440182412,18.566884
3.1,4434,28994,1.334634,1.21935,10.690023753,6.59600661797,18.684876
3.11,4477,30084,1.347577,1.222221,10.8977149075,6.78301121174,18.866078
3.12,4494,27032,1.343706,1.226862,9.67136929461,6.0733915908,17.468178
3.13,4504,27686,1.346696,1.225088,10.0833333333,6.20745801111,17.507048
3.14,4520,27904,1.35148,1.22944,8.14973262032,6.23562645147,17.56924
3.15,4546,28122,1.359254,1.231966,9.54479166667,6.2508055874,17.670302
3.16,4589,28994,1.372111,1.23903,8.94939493949,6.38867837286,17.837443
3.17,4607,25288,1.377493,1.24389,8.83825025432,5.55166266013,15.152423
3.18,4616,28994,1.380184,1.24632,10.4085365854,6.3536297652,17.942392
3.19,4636,28776,1.386164,1.247084,9.21784776903,6.2801262401,18.020132
3.2,4654,21800,1.391546,1.251926,8.17011278195,4.74043691399,13.91546
3.21,4693,28340,1.403207,1.257724,9.80358829084,6.11473192482,18.241691
3.22,4747,29212,1.371883,1.262702,9.31003039514,6.23553329059,17.834479
3.23,4760,29866,1.37564,1.26616,8.59692028986,6.3585653211,17.88332
3.24,4783,28122,1.382287,1.267495,9.84623217923,5.96008194702,16.587444
3.25,4798,28340,1.386622,1.27147,8.55545536519,5.98842383501,16.639464
3.26,4831,27904,1.396159,1.275384,7.55137844612,5.85837673563,16.753908
3.27,4885,27250,1.40688,1.284755,8.40282685512,5.66125961909,16.88256
3.28,4915,28122,1.41552,1.28773,8.97323340471,5.80837086489,16.98624
3.29,4935,27904,1.42128,1.29297,7.88607594937,5.74110769697,17.05536
3.3,4953,28340,1.426464,1.297686,8.59654471545,5.81063317414,17.117568
3.31,4973,27032,1.432224,1.297953,6.47815533981,5.5208676322,15.754464
3.32,5046,29866,1.453248,1.31196,8.89244663383,6.0156360208,17.438976
3.33,5108,28558,1.471104,1.322972,8.1028971029,5.68515146313,17.653248
3.34,5141,27686,1.460044,1.326378,7.38893280632,5.47739792055,16.060484
3.35,5165,28558,1.46686,1.327405,9.23492907801,5.62441422482,17.60232
3.36,5183,28994,1.471972,1.332031,7.97323340471,5.69112438832,17.663664
3.37,5204,21582,1.477936,1.337428,6.82849426063,4.21973548783,13.301424
3.38,5272,28558,1.497248,1.34436,7.96431467964,5.51406654176,16.469728
3.39,5339,30084,1.478903,1.356106,7.93766011956,5.73753076683,17.746836
3.4,5361,28776,1.484997,1.356333,6.66147859922,5.46614301765,16.334967
3.41,5381,27904,1.490537,1.361393,8.62246621622,5.28101626322,16.395907
3.42,5399,28994,1.495523,1.365947,6.53756708408,5.46942222336,16.450753
3.43,5432,30084,1.504664,1.368864,5.9128440367,5.64118346577,18.055968
3.44,5495,28776,1.522115,1.379245,7.45253682488,5.33497261866,16.743265
3.45,5578,27904,1.545106,1.3945,7.40340488527,5.09768442089,16.996166
3.46,5623,27250,1.557571,1.400127,7.44814241486,4.9385371192,15.57571
3.47,5650,28122,1.56505,1.4012,7.05693950178,5.07227922506,15.6505
3.48,5676,27686,1.549548,1.407648,6.4373540856,4.97075310963,15.49548
3.49,5698,18966,1.555554,1.413104,5.30891499654,3.39211175471,10.888878
3.5,5757,28776,1.571661,1.421979,6.82200886263,5.09415288112,15.71661
3.51,5847,26814,1.584537,1.438362,6.78220640569,4.67379006414,15.84537
3.52,5918,27032,1.603778,1.443992,7.57631954351,4.6547694923,16.03778
3.53,5946,22018,1.611366,1.444878,7.05808080808,3.77319374005,12.890928
3.54,5971,23326,1.618141,1.450953,5.06535569693,3.98033737337,12.945128
3.55,6024,25724,1.632504,1.457808,5.34492968172,4.35045841241,14.692536
3.56,6078,27468,1.647138,1.464798,5.74294205052,4.60339644594,16.47138
