Percent_Sequential  Write  Total  WriteAlignment  WriteOpacity  TotalAlignment
0                   9.67   13.64  150             100           205
50                  7.87   9.25   290             100           180
90                  4.96   5.24   45              100           270
99                  4.10   4.11   45              0             180
100                 0.94   0.94   135             0             150
