pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score
0 222496 4.96062994003 0.916754310482 4.42568182945 0.956478859349 
100 290564 7.96953892708 0.94043366635 4.61147904396 0.95494427318 
200 295612 13.3905320168 0.926299077069 4.86739683151 0.954138533258 
300 304236 17.9216439724 0.914967083165 5.98224496841 0.952377124945 
400 310752 22.0391449928 0.905046822787 5.36501908302 0.953109582012 
500 316672 26.6612241268 0.894821879968 5.16411113739 0.951045948899 
600 322392 29.7391009331 0.890658776481 5.39373397827 0.948276083302 
700 328424 35.0336489677 0.878558138946 5.6104888916 0.946742703791 
800 337148 43.1526250839 0.833486296601 5.71236109734 0.947281060325 
900 343620 48.5173299313 0.852346288199 5.91609621048 0.94403892944 
1000 351040 53.5089509487 0.846424779866 6.14687180519 0.943249729989 
1100 357452 58.196739912 0.83929035371 5.99143099785 0.945256984759 
1200 363468 64.7036488056 0.828238396378 6.18863296509 0.945084983354 
1300 373748 68.9994468689 0.821993517939 6.44799613953 0.943202396273 
1400 378716 74.2309169769 0.816414394716 8.17025279999 0.940155028264 
1500 384696 79.5592088699 0.811122618292 9.63393688202 0.938323386692 
1600 392188 84.0763380527 0.805133600754 8.52431893349 0.938020839052 
1700 397600 87.0764169693 0.799567173529 8.47865819931 0.937658245042 
1800 404092 91.464507103 0.796240826719 10.1861479282 0.937382786964 
1900 410096 95.6715040207 0.791463879132 8.40709996223 0.939582803358 
2000 416532 100.723761082 0.786258025388 8.72064590454 0.936783416127 
2100 423260 103.84262681 0.782584455274 8.95563983917 0.936655422884 
2200 428348 106.80567503 0.778959653559 8.95433402061 0.936315530396 
2300 433388 109.757486105 0.775711648102 9.22058200836 0.935337688861 
2400 439316 113.53862977 0.772276234336 9.71577906609 0.93348135348 
2500 449432 121.141579866 0.767889592849 10.0388791561 0.930854674787 
2600 457084 124.668953896 0.764112297963 9.94605708122 0.933510483542 
2700 465788 130.791954041 0.757625941048 10.8330550194 0.929577062025 
2800 474996 136.518450975 0.752445799585 10.8739490509 0.929031230381 
2900 482444 141.41506505 0.747636632201 11.0874559879 0.929614947468 
3000 489628 146.526056051 0.742162058617 10.5040550232 0.928313643798 
3100 497520 150.558184862 0.738269517832 11.2413818836 0.925898237302 
3200 505376 156.968641043 0.733049343273 11.5044331551 0.924511861152 
3300 513520 163.446809053 0.728009026423 11.4359760284 0.924432256256 
3400 523248 168.548115015 0.723838860113 12.371432066 0.920658992211 
3500 531556 173.73634696 0.720394457917 11.9907441139 0.922593573806 
3600 539288 179.933747053 0.71578250892 12.1665129662 0.9213281584 
3700 546632 184.816626072 0.711377166182 12.2515439987 0.9199890589 
3800 557056 191.790845156 0.708303190408 12.2440888882 0.920951737499 
3900 565448 199.864343882 0.704793971461 13.0319039822 0.919534136546 
4000 572904 206.454100847 0.702908142641 14.4893620014 0.918713654708 
4100 579036 213.116966963 0.700046360686 12.6225190163 0.910494362533 
4200 587448 216.428751945 0.697242870763 13.4194719791 0.918212465822 
4300 594008 224.38488698 0.693529931268 13.3619229794 0.916049572781 
4400 599728 226.23941493 0.690523540662 13.0087628365 0.918860905501 
4500 606124 233.336914062 0.687711931608 13.3775188923 0.917665056117 
4600 612428 234.876513004 0.685126238606 13.7729289532 0.916706058901 
4700 618580 235.4096241 0.682821250865 14.375221014 0.914069771771 
4800 626820 241.049083948 0.679582843713 14.4265699387 0.913107413589 
4900 635076 252.609963894 0.675609614576 14.1794621944 0.913326882925 
5000 641660 259.173864126 0.672266248616 14.8199839592 0.911670378298 
5100 650652 262.493784189 0.671389932062 14.1719651222 0.913329824611 
5200 656376 267.084589958 0.669483528401 14.4761238098 0.912492055646 
5300 662616 273.195822954 0.666587505588 15.171284914 0.911526047902 
5400 671124 274.283940792 0.664875096717 14.711414814 0.910466879462 
5500 678576 277.122066975 0.663031863887 15.5533168316 0.910129866564 
5600 684028 281.116997004 0.661007950338 15.9252040386 0.907934213397 
5700 689776 284.097226143 0.659886020241 15.4218709469 0.911074382405 
5800 698332 289.594393969 0.658623430934 15.4632689953 0.910611870679 
5900 704704 299.253091097 0.657046593369 15.7605578899 0.909035384718 
6000 712088 305.289520025 0.654869287044 15.3753550053 0.905767627334 
6100 718500 303.493213177 0.654411046977 16.8276979923 0.908197876171 
