pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score cleaner_time cleaner_layout_score
0 290876 3.17792081833 0.758950885581 3.188174963 0.75922559288 3.14880204201 0.759205839732 
100 295896 3.30110096931 0.750100024006 3.36689805984 0.752426278462 3.25275492668 0.752428347127 
200 301012 3.4245569706 0.744198837148 3.4216940403 0.747163334294 3.36184811592 0.747244115106 
300 309644 3.57467508316 0.737737699489 3.54659795761 0.741661891117 3.52090620995 0.741630573248 
400 316168 3.7293639183 0.731725875661 3.71028804779 0.735459311033 3.62884879112 0.735443022229 
500 322080 3.80026388168 0.688223632699 3.80686402321 0.728177782126 3.73567199707 0.727869652774 
600 327808 3.97724914551 0.71763787096 3.83388710022 0.730576966878 3.84802007675 0.721223842587 
700 306072 3.40493583679 0.753667953668 3.35596013069 0.755859349834 3.30939102173 0.755820849341 
800 314804 3.60172986984 0.741315400606 3.55367207527 0.745722617871 3.51152014732 0.745697872767 
900 321280 3.75170493126 0.732232318271 3.68544387817 0.736578091106 3.631305933 0.736712386163 
1000 328700 3.91355800629 0.725416417016 3.82447290421 0.730576966878 3.78887796402 0.730591635784 
1100 335096 4.06040501595 0.717492005267 3.98080992699 0.7225863284 3.91823387146 0.722333294131 
1200 341104 4.18234109879 0.710316772412 4.09771299362 0.716728040911 4.04719281197 0.716817531058 
1300 313852 3.36661100388 0.766715972623 3.32867097855 0.768687174061 3.28710603714 0.768556429128 
1400 319036 3.49834489822 0.757255806495 3.45283603668 0.762217765894 3.39924097061 0.76227696487 
1500 325040 3.63697504997 0.748545525065 3.58156681061 0.754205936223 3.52500414848 0.752611794571 
1600 332532 3.77467513084 0.741036328329 3.71691703796 0.747673853521 3.65575504303 0.747778383374 
1700 337944 3.90267181396 0.73366828313 3.82985496521 0.7396367621 3.77106380463 0.739302011548 
1800 344436 4.03555798531 0.728824020207 3.9426908493 0.734063870473 3.88469696045 0.733989922649 
1900 350464 4.17189002037 0.721761355993 4.08086800575 0.72736755914 4.03797793388 0.727533042121 
2000 356884 4.31623506546 0.714321985252 4.20748281479 0.721128500369 4.14611387253 0.721121511814 
2100 363612 4.45182394981 0.709200645811 4.33385515213 0.715029383435 4.27133584023 0.715307690643 
2200 368724 4.56397199631 0.703951017622 4.43881988525 0.710355710995 4.36318087578 0.710080722455 
2300 326856 3.46842694283 0.768483799635 3.41520094872 0.772747581843 3.35826086998 0.772654297889 
2400 332840 3.60828900337 0.761141493722 3.51975297928 0.765422289685 3.48545384407 0.76537147737 
2500 342956 3.77669095993 0.753266665141 3.68707704544 0.759694652973 3.64053297043 0.759849452712 
2600 350616 3.94669485092 0.744805223948 3.85599803925 0.75141077812 3.79781603813 0.751218307171 
2700 359332 4.12739515305 0.735902379179 4.03667712212 0.743705411042 3.96591091156 0.743667968921 
2800 368516 4.3058848381 0.728075790552 4.19402194023 0.735693511826 4.13006806374 0.735616936605 
2900 375988 4.46170401573 0.720167838607 4.35601806641 0.728455812298 4.27714896202 0.72827499476 
3000 337272 3.4879629612 0.777139193285 3.41879987717 0.78274663139 3.35635304451 0.782809990975 
3100 345372 3.63971686363 0.767906775413 3.55998802185 0.77534259111 3.5203897953 0.775033775274 
3200 353252 3.83986186981 0.757073605617 3.7155251503 0.765578635015 3.68936395645 0.765970529705 
3300 361416 3.98979997635 0.748054835124 3.90461707115 0.757164223098 3.8610470295 0.757358964557 
3400 371180 4.18611717224 0.737683216131 4.09088611603 0.747306582966 4.02810811996 0.747543943497 
3500 379504 4.3484108448 0.730555209501 4.23397684097 0.740050487736 4.18363404274 0.739956664628 
3600 387228 4.51062512398 0.723255861242 4.41451907158 0.732463096255 4.35142207146 0.73239465257 
3700 351024 3.60804915428 0.774805392916 3.54648399353 0.782767277189 3.49762916565 0.782484097907 
3800 361500 3.79430484772 0.768044887509 3.68351387978 0.776133108862 3.63165903091 0.776112878018 
3900 369860 3.95359396935 0.760453926077 3.88774895668 0.769833392036 3.8087849617 0.769785479253 
4000 377312 4.10500812531 0.753067133246 4.01551485062 0.762201106818 3.95233821869 0.762448219591 
4100 358604 3.58127307892 0.782826177574 3.51514697075 0.789864969051 3.462485075 0.78976451773 
4200 367124 3.76056289673 0.772816261032 3.67107009888 0.782570773256 3.62548804283 0.78259514753 
4300 373672 3.9315161705 0.763999747278 3.84162807465 0.774153683655 3.76314902306 0.774071723262 
4400 379420 4.04426813126 0.756480019939 3.9589009285 0.767575546523 3.89634513855 0.767508198428 
