1900000, 52557,1900000, 6909
1910000, 55142,1910000, 9485
1920000, 53609,1920000, 9353
1930000, 51766,1930000, 7360
1940000, 53374,1940000, 7779
1950000, 53900,1950000, 10156
1960000, 56337,1960000, 5133
1970000, 52458,1970000, 9848
1980000, 53384,1980000, 6935
1990000, 55176,1990000, 8537
2000000, 54478,2000000, 9266
2010000, 53591,2010000, 7384
2020000, 54719,2020000, 4778
2030000, 54144,2030000, 7601
2040000, 53798,2040000, 7461
2050000, 53500,2050000, 7229
2060000, 53658,2060000, 6909
2070000, 53925,2070000, 4891
2080000, 52947,2080000, 7363
2090000, 55338,2090000, 10709
2100000, 54483,2100000, 4225
2110000, 53046,2110000, 7686
2120000, 53562,2120000, 9207
2130000, 53535,2130000, 5016
2140000, 53805,2140000, 4966
2150000, 54495,2150000, 9182
2160000, 53077,2160000, 4749
2170000, 54858,2170000, 6595
2180000, 55141,2180000, 6726
2190000, 54147,2190000, 6553
2200000, 54028,2200000, 4224
2210000, 53025,2210000, 6473
2220000, 54033,2220000, 6819
2230000, 52837,2230000, 6244
2240000, 55815,2240000, 6201
2250000, 53124,2250000, 5309
2260000, 55649,2260000, 7245
2270000, 53699,2270000, 5575
2280000, 53181,2280000, 7252
2290000, 54490,2290000, 7933
2300000, 54429,2300000, 5149
2310000, 55754,2310000, 6305
2320000, 55603,2320000, 6409
2330000, 53041,2330000, 4690
2340000, 54174,2340000, 6377
2350000, 55008,2350000, 6424
2360000, 51513,2360000, 4858
2370000, 54360,2370000, 7508
2380000, 54476,2380000, 6458
2390000, 53835,2390000, 5724
2400000, 53635,2400000, 5941
2410000, 54579,2410000, 6461
2420000, 53121,2420000, 7197
2430000, 57673,2430000, 5083
2440000, 54245,2440000, 6109
2450000, 56387,2450000, 6399
2460000, 52803,2460000, 3716
2470000, 53909,2470000, 7072
2480000, 55731,2480000, 6358
2490000, 56057,2490000, 6092
2500000, 53118,2500000, 4692
2510000, 54343,2510000, 7811
2520000, 54887,2520000, 4886
2530000, 52549,2530000, 5968
2540000, 55774,2540000, 6075
2550000, 54384,2550000, 6283
2560000, 54496,2560000, 4573
2570000, 55744,2570000, 6569
2580000, 52675,2580000, 6427
2590000, 54081,2590000, 4498
2600000, 54295,2600000, 6805
2610000, 53568,2610000, 8830
2620000, 55348,2620000, 5264
2630000, 54252,2630000, 6461
2640000, 53082,2640000, 6654
2650000, 56613,2650000, 5124
2660000, 53193,2660000, 7109
2670000, 54442,2670000, 6571
2680000, 54983,2680000, 7011
2690000, 55432,2690000, 5513
2700000, 54273,2700000, 7011
2710000, 52510,2710000, 6301
2720000, 54324,2720000, 5125
2730000, 54671,2730000, 7195
2740000, 55005,2740000, 7629
2750000, 57249,2750000, 5850
2760000, 55335,2760000, 7572
2770000, 53104,2770000, 7476
2780000, 55929,2780000, 4716
2790000, 53440,2790000, 6886
2800000, 54055,2800000, 7169
2810000, 54312,2810000, 4775
2820000, 53232,2820000, 8879
2830000, 55465,2830000, 5223
2840000, 54656,2840000, 7176
2850000, 55657,2850000, 6378
2860000, 55074,2860000, 6333
2870000, 56234,2870000, 7613
2880000, 54773,2880000, 7992
2890000, 54240,2890000, 5504
2900000, 54125,2900000, 7270
2910000, 56274,2910000, 7452
2920000, 55207,2920000, 8062
2930000, 56464,2930000, 5833
2940000, 54710,2940000, 8207
2950000, 54507,2950000, 6893
2960000, 54785,2960000, 7261
2970000, 55427,2970000, 9099
2980000, 55395,2980000, 6794
2990000, 56116,2990000, 6413
3000000, 55586,3000000, 7190
3010000, 55013,3010000, 7965
3020000, 54752,3020000, 8438
3030000, 54780,3030000, 6669
3040000, 56298,3040000, 8654
3050000, 53696,3050000, 7322
3060000, 55590,3060000, 8549
