read_size_bytes num_reads time_seconds
4096 100000 10.281781
8192 100000 14.475997
16384 100000 19.256280
32768 100000 26.475434
65536 100000 42.635010
131072 100000 66.513409
262144 100000 122.011789
524288 100000 201.962107
1048576 100000 368.884286
2097152 100000 667.361957
4194304 100000 1010.620645
8388608 100000 1743.805572
16777216 100000 3233.266766
33554432 100000 6214.842737
67108864 100000 12191.772415
134217728 100000 24126.238452
268435456 100000 48125.965378
