round fs_size aged_time aged_layout_score
0 4136960 0.0290658473969 1.0 
1 4136960 0.051815032959 1.0 
2 4136960 0.0727880001068 1.0 
3 4136960 0.0619840621948 1.0 
4 4136960 0.0529670715332 1.0 
5 4136960 0.0747489929199 1.0 
6 4136960 0.0579550266266 1.0 
7 4136960 0.0500490665436 1.0 
8 4136960 0.0620448589325 1.0 
9 4136960 0.0288779735565 1.0 
10 4136960 0.0292229652405 1.0 
11 4136960 0.0695180892944 1.0 
12 4136960 0.0290949344635 1.0 
13 4136960 0.0290920734406 1.0 
14 4136960 0.0290679931641 1.0 
15 4136960 0.0290329456329 1.0 
16 4136960 0.0508267879486 1.0 
17 4136960 0.0475361347198 1.0 
18 4136960 0.0288059711456 1.0 
19 4136960 0.0291450023651 1.0 
20 4136960 0.0301148891449 1.0 
21 4136960 0.0289850234985 1.0 
22 4136960 0.0291221141815 1.0 
23 4136960 0.0291361808777 1.0 
24 4136960 0.0511848926544 1.0 
25 4136960 0.0536890029907 1.0 
26 4136960 0.0291759967804 1.0 
27 4136960 0.0473730564117 1.0 
28 4136960 0.0527420043945 1.0 
29 4136960 0.0530691146851 1.0 
30 4136960 0.0291578769684 1.0 
31 4136960 0.0639050006866 1.0 
32 4136960 0.0291969776154 1.0 
33 4136960 0.0290820598602 1.0 
34 4136960 0.0291769504547 1.0 
35 4136960 0.0291068553925 1.0 
36 4136960 0.0568220615387 1.0 
37 4136960 0.0292489528656 1.0 
38 4136960 0.0290141105652 1.0 
39 4136960 0.0560541152954 1.0 
40 4136960 0.0290510654449 1.0 
41 4136960 0.0290789604187 1.0 
42 4136960 0.0290989875793 1.0 
43 4136960 0.0292639732361 1.0 
44 4136960 0.0290338993073 1.0 
45 4136960 0.0516271591187 1.0 
46 4136960 0.0291831493378 1.0 
47 4136960 0.0291318893433 1.0 
48 4136960 0.0618159770966 1.0 
49 4136960 0.0589759349823 1.0 
50 4136960 0.0509679317474 1.0 
51 4136960 0.0467729568481 1.0 
52 4136960 0.0294108390808 1.0 
53 4136960 0.0289330482483 1.0 
54 4136960 0.0290598869324 1.0 
55 4136960 0.0289618968964 1.0 
56 4136960 0.0292479991913 1.0 
57 4136960 0.029424905777 1.0 
58 4136960 0.0291290283203 1.0 
59 4136960 0.0704689025879 1.0 
60 4136960 0.0575261116028 1.0 
61 4136960 0.0548219680786 1.0 
62 4136960 0.0292360782623 1.0 
63 4136960 0.0555019378662 1.0 
64 4136960 0.0524411201477 1.0 
65 4136960 0.0292370319366 1.0 
66 4136960 0.0466070175171 1.0 
67 4136960 0.0566170215607 1.0 
68 4136960 0.0291090011597 1.0 
69 4136960 0.0291168689728 1.0 
70 4136960 0.0473430156708 1.0 
71 4136960 0.0291240215302 1.0 
72 4136960 0.0647330284119 1.0 
73 4136960 0.045716047287 1.0 
74 4136960 0.0471069812775 1.0 
75 4136960 0.0530099868774 1.0 
76 4136960 0.029196023941 1.0 
77 4136960 0.0292780399323 1.0 
78 4136960 0.0724239349365 1.0 
79 4136960 0.0516920089722 1.0 
80 4136960 0.0291771888733 1.0 
81 4136960 0.0536019802094 1.0 
82 4136960 0.0295112133026 1.0 
83 4136960 0.0293819904327 1.0 
84 4136960 0.0293898582458 1.0 
85 4136960 0.0609340667725 1.0 
86 4136960 0.120432853699 1.0 
87 4136960 0.0482261180878 1.0 
88 4136960 0.134922027588 1.0 
89 4136960 0.0292072296143 1.0 
90 4136960 0.0727560520172 1.0 
91 4136960 0.0293231010437 1.0 
92 4136960 0.0519418716431 1.0 
93 4136960 0.0293908119202 1.0 
94 4136960 0.0477721691132 1.0 
95 4136960 0.103549957275 1.0 
96 4136960 0.0980777740479 1.0 
97 4136960 0.0533809661865 1.0 
98 4136960 0.0583939552307 1.0 
99 4136960 0.0530459880829 1.0 
100 4136960 0.0485589504242 1.0 
