fs, files, files.sec
ext4, 2190000, 160.179992
ext4, 2200000, 159.059008
ext4, 2210000, 159.781963
ext4, 2220000, 159.070630
ext4, 2230000, 159.787077
ext4, 2240000, 159.009366
ext4, 2250000, 159.719197
ext4, 2260000, 158.904651
ext4, 2270000, 159.602264
ext4, 2280000, 158.827819
ext4, 2290000, 159.165060
ext4, 2300000, 158.766086
ext4, 2310000, 159.095346
ext4, 2320000, 158.714737
ext4, 2330000, 159.016221
ext4, 2340000, 158.708522
ext4, 2350000, 159.049483
ext4, 2360000, 158.656952
ext4, 2370000, 158.980953
ext4, 2380000, 158.611911
ext4, 2390000, 158.577315
ext4, 2400000, 158.533703
ext4, 2410000, 158.495175
ext4, 2420000, 158.096653
ext4, 2430000, 158.408581
ext4, 2440000, 158.041439
ext4, 2450000, 158.334958
ext4, 2460000, 157.965132
ext4, 2470000, 158.250453
ext4, 2480000, 157.833179
ext4, 2490000, 158.118887
ext4, 2500000, 157.736648
ext4, 2510000, 157.715904
ext4, 2520000, 157.668486
ext4, 2530000, 157.644913
ext4, 2540000, 157.653430
ext4, 2550000, 157.591691
ext4, 2560000, 157.593455
ext4, 2570000, 157.336858
ext4, 2580000, 157.707188
ext4, 2590000, 157.416775
ext4, 2600000, 157.714096
ext4, 2610000, 157.316663
ext4, 2620000, 157.610022
ext4, 2630000, 156.972888
ext4, 2640000, 157.536001
ext4, 2650000, 156.974547
ext4, 2660000, 157.566863
ext4, 2670000, 156.996098
ext4, 2680000, 157.584072
ext4, 2690000, 156.891842
ext4, 2700000, 157.471962
ext4, 2710000, 156.812992
ext4, 2720000, 157.091761
ext4, 2730000, 156.767679
ext4, 2740000, 157.022165
ext4, 2750000, 156.363013
ext4, 2760000, 156.931415
ext4, 2770000, 156.584894
ext4, 2780000, 156.851912
ext4, 2790000, 156.227235
ext4, 2800000, 156.485799
ext4, 2810000, 156.228896
ext4, 2820000, 156.784415
ext4, 2830000, 156.230351
ext4, 2840000, 156.074177
ext4, 2850000, 156.601824
ext4, 2860000, 157.096379
ext4, 2870000, 157.631703
ext4, 2880000, 157.938634
ext4, 2890000, 158.200773
ext4, 2900000, 158.479578
ext4, 2910000, 158.728435
ext4, 2920000, 159.004817
ext4, 2930000, 159.235309
ext4, 2940000, 159.509200
ext4, 2950000, 159.774566
ext4, 2960000, 160.023248

btrfs, 10000, 11487.347261
btrfs, 20000, 22792.152662
btrfs, 30000, 34050.899284
btrfs, 40000, 26846.592530
btrfs, 50000, 13519.498632
btrfs, 60000, 16086.243715
btrfs, 70000, 18741.803808
btrfs, 80000, 17998.450783
btrfs, 90000, 13000.191392
btrfs, 100000, 14418.088819
btrfs, 110000, 15841.319519
btrfs, 120000, 14636.952352
btrfs, 130000, 11543.160766
btrfs, 140000, 12427.456939
btrfs, 150000, 13293.346946
btrfs, 160000, 12813.351512
btrfs, 170000, 9867.019852
btrfs, 180000, 10406.866265
btrfs, 190000, 10984.398685
btrfs, 200000, 10644.850684
btrfs, 210000, 8232.152018
btrfs, 220000, 7169.003990
btrfs, 230000, 7490.215905
btrfs, 240000, 6307.886190
btrfs, 250000, 4765.017453
btrfs, 260000, 4955.422355
btrfs, 270000, 4812.573007
btrfs, 280000, 4770.123165
btrfs, 290000, 4267.537833
btrfs, 300000, 4138.390367
btrfs, 310000, 4161.660145
btrfs, 320000, 4193.199958
btrfs, 330000, 3849.922822
btrfs, 340000, 3242.844275
btrfs, 350000, 3144.027881
btrfs, 360000, 3078.435905
btrfs, 370000, 2632.939818
btrfs, 380000, 2636.336476
btrfs, 390000, 2699.157809
btrfs, 400000, 2586.069300
btrfs, 410000, 2422.676612
btrfs, 420000, 2441.467729
btrfs, 430000, 2494.208636
btrfs, 440000, 2405.107613
btrfs, 450000, 2114.894233
btrfs, 460000, 2161.827346
btrfs, 470000, 2208.478210
btrfs, 480000, 2121.514817
btrfs, 490000, 1956.479464
btrfs, 500000, 1996.179193
btrfs, 510000, 2036.067881
btrfs, 520000, 1945.837770
btrfs, 530000, 1790.398422
btrfs, 540000, 1794.609812
btrfs, 550000, 1827.023610
btrfs, 560000, 1744.893346
btrfs, 570000, 1632.193064
btrfs, 580000, 1660.789006
btrfs, 590000, 1663.561896
btrfs, 600000, 1591.569381
btrfs, 610000, 1484.134599
btrfs, 620000, 1490.110113
btrfs, 630000, 1491.645012
btrfs, 640000, 1474.456773
btrfs, 650000, 1360.073329
btrfs, 660000, 1380.948675
btrfs, 670000, 1366.806091
btrfs, 680000, 1349.832795
btrfs, 690000, 1256.674000
btrfs, 700000, 1274.846761
btrfs, 710000, 1282.597282
