fs random_time ordered_time random_layout ordered_layout
betrfs 14.55820513 13.54544902 0.9967791708 0.9968827054
btrfs 12.43869615 7.451953888 0.9299686347 0.985304022
ext4 13.95765996 13.21821308 0.9076340844 0.9115603666
xfs 13.675632 10.58466601 0.7149298135 0.951983967
zfs 15.62532997 15.60395908 0.900811245 0.9054038677
