4kbfiles betrfsaged betrfsclean ext4aged ext4clean xfsaged xfsclean btrfsaged btrfsclean zfsaged zfsclean betrfsagedlayout betrfscleanlayout ext4agedlayout ext4cleanlayout xfsagedlayout xfscleanlayout btrfsagedlayout btrfscleanlayout zfsagedlayout zfscleanlayout
2200 11.05423295 11.58556818 49.24863636 46.89039773 34.71181818 12.93823864 40.78721591 16.37099432 54.44647727 53.403125 0.9967545639 0.9914874552 0.05002960332 0.1801481481 0.0425 0.9166666667 0.0140077821 0.9311145511 0.004004805767 0.2284781722
2300 10.60008152 11.12741848 48.93785326 46.73013587 34.54315217 12.83184783 41.56875 16.20894022 54.11815217 55.395 0.9963826367 0.9909948542 0.04995693368 0.1863871338 0.04189944134 0.9177972865 0.01303052867 0.9285449833 0.003440366972 0.2165952474
2400 10.31273438 10.98929688 47.99125 45.39372396 34.56171875 12.37908854 40.75736979 16.48645833 55.98421875 54.31328125 0.9969100039 0.9905466502 0.05015324603 0.1967670011 0.04134762634 0.9188361409 0.01394849785 0.934519573 0.004376367615 0.2329735765
2500 10.256325 10.65805 47.12155 44.808075 34.56115 12.23355 40.385075 16.141575 56.433725 51.9757 0.997030438 0.9932938856 0.05062263129 0.1781266919 0.0408388521 0.9197939662 0.01445285616 0.9411563462 0.004189944134 0.2310714286
2600 10.66209135 10.65543269 46.81175481 44.08425481 34.37302885 12.35949519 40.40485577 15.85276442 54.76451923 54.87742788 0.9963074857 0.9889943074 0.05024993423 0.1925808998 0.04036827195 0.9206798867 0.01358065585 0.9321475626 0.003683858004 0.2028091812
2700 10.15303241 10.51372685 46.3318287 43.59717593 34.21766204 12.20212963 39.82046296 15.77118056 53.68194444 51.49296296 0.9972991222 0.989769821 0.0499104172 0.1863322242 0.03993174061 0.9215017065 0.01310322787 0.9289790742 0.0038647343 0.225541694
2800 9.534174107 10.61102679 45.7371875 42.80428571 34.175625 12.21386161 40.12834821 15.86993304 56.78348214 51.07417411 0.9969574037 0.9897815363 0.05008721655 0.1799152754 0.0395256917 0.9222661397 0.01417565485 0.9330055317 0.003729024239 0.2202475405
2900 9.571875 10.44517241 45.39193966 42.73859914 34.10790948 12.05482759 40.16390086 15.48077586 56.21859914 51.35528017 0.9978165939 0.9884353742 0.05049769362 0.1830541394 0.0391470401 0.9229789943 0.01459201906 0.9450386215 0.00329736211 0.2174045802
3000 9.405020833 10.26047917 44.93654167 42.2225 33.999375 12.27070833 40.07910417 15.5746875 55.46197917 51.47835417 0.9981927711 0.9885605338 0.05063890204 0.1852815902 0.03937250077 0.9221777914 0.01470588235 0.9328165375 0.003189330241 0.2216646989
3100 9.417479839 10.45921371 44.73199597 41.85364919 34.05377016 12.03300403 39.44445565 15.60764113 55.53056452 48.63725806 0.9969924812 0.9891875193 0.05078485688 0.1835180055 0.03902293715 0.9228477808 0.01564682872 0.9373259053 0.003082095825 0.2268571429
