pulls_performed filesystem_size file_count aged_time aged_layout_score clean_time clean_layout_score cleaner_time cleaner_layout_score
5700 699512 80955 11.77336717 0.5343282419 11.42671013 0.4933251919 11.363168 0.5422396311
5800 708032 82016 11.85444784 0.5223144543 11.66994214 0.5421309518 11.411304 0.5398303368
5900 714448 82983 11.92610598 0.5057948649 11.84413099 0.5408613108 11.587744 0.5406438456
6000 721896 84029 12.14691496 0.5318899784 11.89873004 0.5374147165 11.72261095 0.5399182847
6100 728332 85000 12.22115612 0.5308268988 11.99313498 0.6597987892 11.85198784 0.5383879621
6200 737112 86060 12.38605499 0.5302898114 12.05742383 0.5439434864 11.93214393 0.5409383294
6300 743656 87048 12.53811002 0.5296358951 12.36922693 0.5374147165 12.12283993 0.5366602304
6400 751000 88110 12.70412207 0.5281064935 12.42018294 0.5451072386 12.276613 0.5363067212
6500 758852 89207 12.80801702 0.5269117013 12.59181905 0.4924746128 12.37614608 0.5351572921
6600 766956 90516 12.98491716 0.5255583756 12.82750392 0.5332808812 12.48504519 0.487772664
6700 775432 91859 13.1512711 0.5238446633 12.9876821 0.5314230302 12.73176908 0.531562296
6800 790220 93695 13.38799095 0.5231049688 13.16778398 0.4880396876 12.942981 0.5275419817
6900 800756 95165 13.55495286 0.4116821252 13.42024922 0.5294495359 13.17153883 0.529221111
7000 808484 96377 13.81674504 0.5200655122 13.59302092 0.5278628735 13.33519602 0.5282031261
7100 815328 97356 13.93155813 0.5102807969 13.69492507 0.5275817893 13.44856 0.5275645099
7200 822200 98438 14.09632993 0.5182246572 13.85160303 0.5259544589 13.5370841 0.5724697215
7300 828792 99548 14.25554299 0.5167003146 14.02351785 0.5242379116 13.730196 0.5237170414
7400 835296 100737 14.34619999 0.5142652123 14.16646099 0.5224998368 13.90894604 0.5226133932
7500 844320 102207 14.54747796 0.5187636891 14.34261084 0.52029522 14.06233692 0.5203222094
7600 854928 103796 14.81045604 0.5111160657 14.55213189 0.519386835 14.30005312 0.521059264
7700 861568 104842 14.93522501 0.5096668428 14.66849208 0.5172911054 14.36418486 0.5461127625
7800 870492 106201 15.11564612 0.5084100456 14.87683105 0.5163746326 14.59606791 0.5160315798
7900 879696 107730 15.326334 0.5066717347 14.9338119 0.3546444648 14.75571704 0.5418318403
8000 887724 109054 15.41874409 0.4157245199 15.29632401 0.513121747 14.965832 0.5131978694
8100 897152 110118 15.47760797 0.4169000541 15.36782193 0.4711607327 15.12837696 0.5131832463
8200 904684 111385 15.78241515 0.5039694473 15.61706209 0.5115075096 15.2336421 0.5319917517
8300 912828 112778 15.882025 0.4230217457 15.72741604 0.6251690469 15.43707705 0.510189719
8400 919412 113935 16.10774708 0.5004843219 15.91976094 0.5085917056 15.53202605 0.5084766666
8500 929152 115379 16.29609585 0.4997050296 16.03750801 0.5523162595 15.70823288 0.4374916268
8600 936444 116348 16.45705485 0.4993231572 16.30172801 0.5117438909 15.90858793 0.506757065
8700 943528 117457 16.54163194 0.4982835713 16.36644602 0.5061614854 16.00754499 0.5749156469
8800 952556 118779 16.74282908 0.4974822287 24.34724212 0.4326463842 16.19759297 0.5318071534
8900 958156 119843 16.89298511 0.4960533788 16.70209789 0.5040581712 16.29553294 0.5239358634
9000 964396 120827 17.01481986 0.4953357645 16.78516006 0.5032980067 16.40380692 0.5194019661
9100 971424 121834 17.14884901 0.4948325324 16.88113379 0.5021503092 16.51786995 0.4632790073
9200 977896 122925 17.2957809 0.493634257 17.09121394 0.5144277784 16.72542596 0.5013706478
9300 985020 124059 17.39071298 0.5419643874 17.25591612 0.4721874851 16.88012409 0.500271889
9400 992068 125083 17.56545496 0.4923969188 17.43128991 0.5001274585 17.02659512 0.5004694614
9500 998544 126228 17.72344518 0.4909207684 17.5928719 0.5000235023 17.15221119 0.4990474484
9600 1005280 127345 17.87550902 0.492177133 17.57470202 0.5401546442 17.27870822 0.497817049
9700 1013828 128640 18.04282999 0.4893966799 17.84346294 0.4967928799 17.38952804 0.6800355288
9800 1020904 129797 18.18992209 0.4885058127 18.02022386 0.4958237755 17.55527902 0.6252860371
9900 1028016 131023 18.37458491 0.4892705828 18.08905697 0.4948561616 17.76020598 0.4949676043
10000 1035324 132134 18.45222902 0.4865576871 18.22361898 0.5175272087 17.81262112 0.4430988195
