16kbchunks betrfsaged betrfsclean ext4aged ext4clean xfsaged xfsclean btrfsaged btrfsclean zfsaged zfsclean betrfsagedlayout betrfscleanlayout ext4agedlayout ext4cleanlayout xfsagedlayout xfscleanlayout btrfsagedlayout btrfscleanlayout zfsagedlayout zfscleanlayout
21 5.429107143 4.789792015 8.094375 9.030059815 8.080773809 4.089823405 6.483452381 4.680101667 8.454166666 8.823399861 0.9958506224 0.9981176471 0.005871725384 0.07226800919 0.002264492754 0.9966793169 0.01522140221 0.9943208708 0.9509757258 0.9514516897
22 5.901335227 4.837446733 7.189176137 8.620085976 7.884090909 4.095330672 6.332443182 4.77019362 8.034715909 8.260473772 0.9951902055 0.9982030548 0.005617977528 0.0722720623 0.002166377816 0.9968297101 0.01455026455 0.993673746 0.9532030895 0.9532030895
23 5.785625 4.689085587 7.51236413 8.52878272 7.70875 4.082025943 6.187038043 4.772019759 7.960652174 8.121972789 0.9957788096 0.9982810486 0.005385252693 0.07475686073 0.00207641196 0.9969670711 0.01559865093 0.9948119326 0.9556714472 0.9552368535
24 5.661328125 4.511641184 7.3753125 8.463595708 7.57859375 3.93339475 6.105885416 4.69716072 7.929635417 7.986046473 0.9968429361 0.9983525535 0.005171042164 0.07741093636 0.001993620415 0.9970930233 0.01414713015 0.9937836718 0.957517701 0.9579341941
25 5.6489 4.441708374 7.21925 8.428497925 7.37055 3.85508606 5.941225 4.559473267 7.6437 7.826335449 0.9961832061 0.9984183472 0.004973221117 0.08030200005 0.001917177914 0.9972089314 0.01396973225 0.9944289694 0.9588164734 0.9592163135
26 5.445456731 4.586156991 7.0803125 8.110581031 7.224879807 3.875463633 5.906706731 4.431631235 7.590480769 7.677225553 0.9971356964 0.9980988593 0.004789977892 0.08036398888 0.001846381093 0.9973159509 0.01417910448 0.9946421737 0.9603998462 0.9603998462
27 5.78599537 4.661584925 6.966527778 8.22913954 7.138101852 3.767865781 5.995625 4.430943242 7.419537037 7.91837339 0.9961253963 0.9981691688 0.004619758351 0.08467483521 0.001780626781 0.9974150665 0.01509705248 0.9948396609 0.9622362088 0.9618659756
28 5.348013393 4.777272361 7.097455357 8.131303515 6.939419643 3.704439981 5.969955357 4.336730957 7.286026786 7.476334163 0.9973100202 0.9982344633 0.004461221688 0.08676695824 0.001719394773 0.9975071225 0.01421636616 0.9946676146 0.9632274188 0.9635844341
29 5.153038793 4.797935223 6.739008621 7.999506983 6.852887931 3.724085841 5.534030172 4.322083045 7.323038793 7.481652621 0.9973614776 0.9982958419 0.004313205043 0.08840918541 0.001662234043 0.9975928473 0.01472556894 0.9948506694 0.9644950017 0.9644950017
30 5.5185 4.677021281 6.608125 7.856164551 6.77775 3.556302897 5.540770833 4.188503011 7.134854167 7.316137695 0.9971927636 0.9983525535 0.004174694926 0.08981895447 0.001608751609 0.9976728723 0.01392036258 0.9953565506 0.9656781073 0.9656781073
31 5.341068548 4.534605457 6.508629032 7.672747704 6.621834677 3.870913597 5.412016129 4.240972211 7.00719758 7.26103555 0.9972875226 0.9984056122 0.004044803983 0.09064602852 0.001558603491 0.9977477477 0.01347539956 0.9955041747 0.9667849081 0.9674298613
32 5.544746094 4.627268314 6.445800781 6.817393303 6.493222656 4.001755715 5.39515625 3.950279713 6.491914063 7.141303063 0.9967911319 0.9984553599 0.003922751961 0.08313894272 0.001511487304 0.9978179551 0.0127582017 0.9953329185 0.9681349578 0.9687597626
33 4.723352273 4.556206444 6.323787878 7.536216042 6.472007576 3.959051884 5.510189394 4.016058257 12.82195076 14.28012501 0.9982832618 0.9985020971 0.003807850029 0.09477710724 0.00146713615 0.9978839178 0.01236021189 0.9951719976 0.9528198719 0.9650054679
34 5.078639706 4.295403873 6.211580882 7.461875466 6.288823529 3.879814597 5.202095588 3.953213411 12.92 13.90696851 0.9969495286 0.998546089 0.003699487763 0.09668588638 0.001425313569 0.9979460094 0.01228571429 0.9953134153 0.9528198719 2
35 5.150303571 4.245928083 6.302910714 7.368188476 6.257821429 3.840032087 5.387964286 3.715589251 12.60591071 13.48218907 0.9975675676 0.9985875706 0.003597122302 0.098279953 0.001385809313 0.998004561 0.01249305941 0.9954467843 0.9528198719 0.9620371817
36 5.081666666 4.280756209 6.029826389 7.25374349 6.137239584 3.867696974 5.134236111 3.745824602 11.89027778 12.1635509 0.9973718791 0.9983521011 0.003500269251 0.09951782227 0.001348435814 0.998059867 0.01322180248 0.996126176 0.9526636463 0.9614122793
37 4.252263513 4.345269692 6.146368244 7.089331962 6.053462838 3.865511095 5.082905405 3.913226566 11.89304054 12.56868104 0.9982051282 0.9983965794 0.003408495018 0.09996390343 0.00131302521 0.9981121899 0.01234243697 0.9956919763 0.9526636463 0.9654741447
38 5.084078947 4.427378604 5.576282894 7.091013457 6.145148026 3.803068863 5.043519737 3.942151923 11.23328947 12.326516 0.9965440632 0.9984387198 0.003321410322 0.1026899815 0.001279426817 0.9981617647 0.0125383828 0.9958049292 0.9528198719 0.9656303703
39 4.660929487 4.458179572 5.971442308 6.951782227 5.919535257 3.730514526 5.110945512 3.691694602 11.25807693 12.13754664 0.9965585054 0.9984787018 0.003238664674 0.1033229828 0.00124750499 0.9982088025 0.0114713217 0.9959121104 0.9528198719 0.9631307608
40 4.81821875 4.456660462 5.743765625 6.983109665 5.95846875 3.682780457 5.085984375 3.766487122 10.6096875 11.73518333 0.9971042471 0.9985166873 0.003159941663 0.1064498425 0.001217137293 0.998253493 0.01216249088 0.995516812 0.9526636463 0.9596937978
41 4.535792683 4.448699951 5.663262195 6.806976318 5.761402439 3.542404175 5.068201219 3.699645996 10.48518292 11.5539856 0.9971771348 0.998553171 0.003084954912 0.106359005 0.001188212928 0.9982960078 0.01162239089 0.9963547995 0.9528198719 0.9623496329
42 5.189449404 4.484166463 5.597217262 6.810587929 5.666056547 3.574707758 5.002083333 3.796486627 10.37639881 11.01479376 0.997468937 0.9985875706 0.003013444599 0.1090109348 0.001160631383 0.9983365019 0.01181102362 0.9964412811 0.9526636463 0.9637556632
43 5.201438953 4.207913421 5.544040698 6.638467833 5.79869186 3.519261915 4.759505814 3.745107251 10.00146802 11.10788638 0.9966540263 0.9986203725 0.002945174445 0.1087858677 0.00113430127 0.9983751161 0.01176736818 0.9962920046 0.9528198719 0.9637556632
44 5.358167613 4.105966048 5.479346591 6.663532257 5.741548295 3.588031769 4.781633523 3.600970529 10.0050142 10.93229918 0.9965863025 0.9986516854 0.002879929109 0.1117360592 0.001109139308 0.9984119782 0.01216007075 0.9963759909 0.9526636463 0.9648492423
45 5.067527777 4.129765151 5.413277778 6.481754218 5.493375 3.564797296 4.656736112 3.710912069 9.421805556 10.15517137 0.9974678202 0.9986816084 0.00281751192 0.1111581326 0.001085069444 0.998447205 0.01146441705 0.9964562569 0.9528198719 0.9650054679
46 5.136535326 4.132741181 5.384728261 6.547107531 5.453220108 3.535092893 4.880951087 3.623793561 9.389361413 10.39285676 0.9971677119 0.9984952709 0.002757742894 0.1147739887 0.00106202209 0.9984809028 0.01163774862 0.9965330444 0.9526636463 0.9601624746
47 5.217779255 4.31832204 5.472619681 6.527285637 5.384707447 3.591136526 4.631409575 3.621059336 8.717167554 9.786169823 0.9973879847 0.9976937269 0.002700457 0.1169140339 0.001039933444 0.9985131691 0.01222038111 0.9963944857 0.9526636463 0.9654741447
48 5.377994792 4.290957133 5.41109375 6.64150556 5.505898438 3.519436201 4.777630208 3.635943095 8.67609375 10.0001208 0.9968829145 0.9985578904 0.002645502646 0.1214909554 0.001018744906 0.9985440932 0.01115392415 0.9962616822 0.9526636463 0.962662084
49 5.180497449 4.292657347 5.2125 6.404117817 5.252028062 3.331898592 4.62122449 3.593480324 8.49625 9.750941686 0.9975009612 0.9985872856 0.002592740327 0.1195890903 0.0009984025559 0.9985737571 0.01111552203 0.9965412004 0.9526636463 0.9656303703
50 5.0731125 4.281164246 5.1247625 6.346516724 5.2192875 3.416395569 4.597375 3.767075195 8.4432875 9.376860657 0.9975467069 0.9986155063 0.002542041455 0.1209321022 0.0009788566954 0.9986022364 0.01108518086 0.9966115208 0.9526636463 0.962662084
51 5.279632353 4.236265295 5.268529412 6.147455852 5.200122549 3.247432933 4.713247549 3.758176317 8.254546568 8.902153165 0.9972512369 0.9986426217 0.002493287303 0.119481802 0.0009600614439 0.9986296006 0.0118207817 0.9966770915 0.9526636463 0.9664114982
52 5.207848558 4.423053154 5.036045673 6.140714499 5.248786057 3.220040541 4.60046875 3.38601978 8.431358173 8.832583501 0.9971284996 0.9986689485 0.002446368084 0.1216909885 0.0009419743783 0.998655914 0.01215407629 0.9969325153 0.9526636463 0.9648492423
53 5.014917453 4.128001375 4.992216982 5.981673043 5.092865566 3.138049719 4.503242924 3.474769737 8.062158019 9.045322346 0.9977076353 0.9986940299 0.00240118212 0.1208188534 0.000924556213 0.9986812359 0.01082370207 0.9966139955 0.9528198719 0.9654741447
54 5.131712963 4.065795333 4.953402778 5.788737827 5.1715625 3.162448741 4.67130787 3.603098551 7.824074074 8.827095597 0.9974097738 0.9987181835 0.002357635111 0.1191279888 0.0009077705156 0.9987056213 0.01206337775 0.9970457903 2 0.9645367911
55 5.12625 3.95608687 5.064625 5.767353959 5.144943182 3.065888839 4.505965909 3.465915472 7.943625 8.680957864 0.9974240082 0.9987414599 0.002315639473 0.120885849 0.0008915834522 0.9987291213 0.01202263083 0.9967367658 0.9529760975 0.9637556632
56 5.370959822 4.193477359 4.888604911 5.583304269 5.118917411 2.874925341 4.604174108 3.522867748 8.038169643 8.493464879 0.9977999662 0.9985873212 0.002275113756 0.1191558838 0.0008759635599 0.9987517832 0.01198332754 0.9967948718 0.9528198719 0.9623496329
57 5.2025 4.11000757 4.977653509 5.522372329 5.062236842 2.832269769 4.718453947 3.518235056 7.410997807 8.348188433 0.9972089969 0.9986120749 0.002235982112 0.1199600697 0.0008608815427 0.998773651 0.0109177755 0.9968509447 0.9528198719 0.966880175
58 4.69955819 4.324348187 4.793081897 5.513978629 4.996056034 2.861520175 4.582640086 3.42015786 7.510474138 8.39789134 0.9978423237 0.9986359761 0.002198173825 0.1218791008 0.000846310088 0.9987947658 0.01256913022 0.9969050894 0.9526636463 0.9640681144
59 4.710021187 4.27832652 4.87907839 5.350156105 4.872404661 2.941821341 4.504470339 3.658654164 7.402997882 8.149338286 0.998202908 0.9986590681 0.00216162288 0.1202969551 0.0008322237017 0.9988151659 0.01071369705 0.9971269224 0.9526636463 0.9664114982
60 4.988822917 4.326585643 4.704166666 5.314257559 4.81003125 2.796175894 4.508572917 3.455631764 7.1886875 7.742678833 0.9972895408 0.9986813911 0.002126267583 0.1215150356 0.0008185985593 0.9988348868 0.01264386448 0.9971746718 0.9528198719 0.962662084
61 4.968104508 4.155898798 4.789631148 5.16105977 4.91567623 2.823328238 4.368309426 3.468065855 7.098391393 7.770736944 0.9978032324 0.9987029831 0.002092050209 0.1199789047 0.0008054123711 0.998853962 0.009883628248 0.9968939022 0.9526636463 0.9609436026
62 4.612933468 4.265189386 4.658125 5.279152409 4.874818549 2.780595841 4.543084677 3.423642558 7.07577621 7.810462706 0.9983082129 0.9987238794 0.002058916693 0.1247360706 0.0007926442613 0.9988724227 0.01176470588 0.9971047129 0.9526636463 0.9628183096
63 4.581031747 4.278370448 4.711269841 5.315523177 4.830109127 2.77431379 4.556438492 3.390877618 6.6875 7.584611923 0.9983029929 0.998744113 0.002026816339 0.1276211739 0.0007802746567 0.998890298 0.01034589253 0.9973088491 0.9526636463 0.9662552726
64 4.900410156 4.143006802 4.594033203 4.628529311 4.682304687 2.827895641 4.489746094 3.265940189 6.870878906 7.602915526 0.9977214036 0.9987639061 0.001995701566 0.1128909588 0.0007682851875 0.9989076155 0.01094391245 0.9971949509 0.9526636463 0.9656303703
65 4.835182692 4.089566745 4.563596154 5.198225285 4.665076923 2.868885451 4.326586538 3.45278203 7.931961539 8.480937547 0.9977658624 0.9987828997 0.001965527669 0.1287670136 0.0007566585956 0.9989244007 0.01002843886 0.9967781528 0.9580252057 0.9756275388
66 4.999005682 4.09364342 4.537035985 4.947193955 4.643285985 2.784108249 4.539857955 3.367395112 7.779962121 8.241819209 0.9979505197 0.9986514834 0.001936252606 0.1244339943 0.0007453786524 0.998940678 0.01061320755 0.9971286081 0.9581293615 0.970940527
67 4.598554105 4.079343654 4.498348881 5.141984854 4.7225 2.79847649 4.380233209 3.4507173 7.494850746 7.840587787 0.9985547044 0.9986715867 0.001907836807 0.1312930584 0.0007344300823 0.9989564699 0.009584664537 0.9970224803 0.9580252057 0.9726070201
68 4.869788603 4.085603601 4.5715625 5.111981785 4.593143382 2.765004551 4.322904412 3.475017099 7.635027574 8.057879728 0.9976273552 0.9986910995 0.001880242985 0.1324751377 0.0007237984945 0.9989717979 0.01016172893 0.9972128502 0.9581293615 0.9712529945
69 4.736793478 4.148050502 4.537672102 5.031158447 4.572518116 2.827912925 4.321195652 3.375992927 7.37134058 7.962016009 0.9977817829 0.9987100473 0.001853435985 0.1322979927 0.0007134703196 0.9989866821 0.009171722873 0.9969644406 0.9580252057 0.9727111759
70 4.688517857 4.231315613 4.518839286 4.950284903 4.623098214 2.826757812 4.375410715 3.311444963 7.325321429 7.782744707 0.9979178234 0.9987284544 0.001827382626 0.1320579052 0.0007034327518 0.9990011416 0.00959933222 0.9971501852 0.9581293615 2
71 4.553661971 4.166653056 4.408600352 4.965160961 4.616135563 2.689525336 4.251417254 3.393460341 7.28125 7.664704873 0.9980978261 0.9987463435 0.001802051566 0.134346962 0.0006936736959 2 0.008915100809 0.9974711998 0.9581293615 0.9726070201
72 4.504583333 4.198584027 4.473958333 4.939428329 4.622109375 2.845076031 4.252881945 3.21884346 7.225486111 7.558945761 0.9978779841 0.9987637363 0.00177741318 0.1355330944 0.0006841817187 0.9990288568 0.0100040557 0.9973676919 0.9580252057 0.9730236434
73 4.491275685 4.099907444 4.45410959 4.743189146 4.602029109 2.77684439 4.318373288 3.259112841 7.23280822 7.256403047 0.9978933509 0.998780653 0.001753439439 0.1319561005 0.0006749460043 0.9990421456 0.009066666667 0.9975403116 0.9581293615 0.9733361108
74 4.448826014 4.02404414 4.357508446 4.831597199 4.452804054 2.825307073 4.282795608 3.285139135 6.967364865 7.167313447 0.9979228872 0.9987971131 0.001730103806 0.1362569332 0.0006659563133 0.9990550756 0.008942661757 0.9973038555 0.9580252057 0.9719820852
75 4.4568 3.943313802 4.3296 4.871502685 4.502691667 2.849596761 4.278716667 3.193690796 6.883308333 7.391636353 0.9977870346 0.9988132911 0.00170738114 0.1392388344 0.0006572029443 0.9990676612 0.008694523748 0.9974727321 0.9581293615 0.9693781898
76 4.470830592 4.034890425 4.374424343 4.8718336 4.524539474 2.841308192 4.284226974 3.316492182 6.914597039 7.298205727 0.9978538063 0.9986987638 0.001685247602 0.1411049366 0.0006486766995 0.9990799159 0.008831434788 0.9972437328 0.9580252057 0.9737527341
77 4.108579545 4.024567641 4.268319805 4.851397031 4.476907468 2.861728618 4.253303571 3.377255923 6.755722403 7.109062294 0.9978728729 0.9987156435 0.001663680573 0.1423618793 0.0006403688525 0.9990918526 0.008712121212 0.9974086551 0.9581293615 0.9729194876
78 4.545785256 4.054588709 4.343389423 4.803532527 4.343317307 2.861806429 4.345344551 3.328407483 6.572692308 6.971729572 0.9975284231 0.9987320908 0.00164265858 0.1427879334 0.0006322711179 0.9991034836 0.008602418651 0.997441801 0.9581293615 0.9706280596
79 4.119477848 3.979649991 4.320403481 4.785246065 4.327064873 2.816917516 4.152294304 3.254092446 6.591526899 6.88554672 0.9979133423 0.9987481222 0.001622161218 0.1440680027 0.0006243756244 0.9991148204 0.008122077283 0.9976007072 0.9581293615 0.9719820852
80 4.066054688 4.016527939 4.303164063 4.772562408 4.2970625 2.850452805 4.235851562 3.139383125 6.378257812 6.839258384 0.9985422741 0.9987637532 0.00160216909 0.1455049515 0.000616674889 0.9991258741 0.007655851258 0.9978800349 0.9581293615 0.973231955
81 4.193078704 4.045652225 4.195532408 4.813971249 4.272947531 2.75646238 4.173942901 3.381493462 6.330162037 6.783523936 0.998099311 0.9987789988 0.001582663745 0.1486020088 0.0006091617934 0.9991366552 0.008042251831 0.9975366424 0.9581293615 0.969274034
82 4.401554878 4.152740479 4.245518293 4.876159668 4.382439025 2.762046814 4.224519817 3.161857605 6.277195122 6.663711547 0.9977953121 0.9987938729 0.001563627616 0.1523799896 0.0006018295619 0.9991471735 0.01090952212 0.9978099525 0.9581293615 0.9742735132
83 4.50875 4.20545077 4.23497741 4.878871321 4.355948795 2.747642976 4.262748494 3.382147548 6.250399097 6.66989577 0.9980410233 0.9988083889 0.001545043974 0.1543240547 0.0005946717412 0.9991574386 0.009963661939 0.9978362784 0.9580252057 0.9693781898
84 4.460662202 4.009186699 4.12874256 4.847623734 4.359174107 2.59238779 4.289858631 3.212464469 6.2090625 6.524199894 0.9978509218 0.9988225598 0.001526896876 0.1551830769 0.0005876821815 0.9991674596 0.008685581934 0.997624421 0.9581293615 0.975523383
85 4.543110295 3.974649766 4.17842647 4.886200848 4.231433823 2.620144474 4.168610294 3.183002427 6.050808824 6.580471442 0.9978620457 0.9988363975 0.001509171117 0.1582801342 0.0005808550186 0.9991772449 0.009500915751 0.9977696913 0.9580252057 0.9756275388
86 4.762638081 3.962906949 4.187965116 4.87276991 4.219331396 2.689906275 4.177906977 3.298123205 5.887420059 6.36908438 0.9977797513 0.9987350506 0.001491852192 0.1597020626 0.0005741846578 0.999186803 0.008257918552 0.9976795452 0.9581293615 0.9695865014
87 4.916616379 3.928336835 4.17878592 4.664205617 4.198699713 2.594931066 4.209432472 3.23123432 5.949949712 6.080263861 0.9973793405 0.9987495737 0.001474926254 0.1546440125 0.0005676657584 0.9991961415 0.008949546929 0.9974767749 0.9581293615 0.9716696177
88 4.922919034 4.117056413 4.079112216 4.622144352 4.1909375 2.535264623 4.068714489 3.203963887 5.746640625 6.214855888 0.9970604246 0.9987637671 0.001458380076 0.1550109386 0.0005612932196 0.9992052679 0.008184935295 0.9975053861 0.9580252057 0.9734402666
