fs, size.MB, time.s

# BetrFS_rename_16 has been renamed to BetrFS_v2
# for graphing purposes.

xfs, 2, 0.056
xfs, 2, 0.043
xfs, 3, 0.022
xfs, 3, 0.012
xfs, 3, 0.053
xfs, 3, 0.053
xfs, 3, 0.043
xfs, 4, 0.014
xfs, 4, 0.002
xfs, 4, 0.045
xfs, 4, 0.180
xfs, 4, 0.092
xfs, 5, 0.023
xfs, 5, 0.056
xfs, 5, 0.069
xfs, 5, 0.063
xfs, 5, 0.050
xfs, 6, 0.002
xfs, 6, 0.014
xfs, 6, 0.041
xfs, 6, 0.039
xfs, 6, 0.058
xfs, 8, 0.019
xfs, 8, 0.022
xfs, 8, 0.076
xfs, 8, 0.073
xfs, 8, 0.091
xfs, 16, 0.031
xfs, 16, 0.006
xfs, 16, 0.089
xfs, 16, 0.069
xfs, 16, 0.068
xfs, 32, 0.039
xfs, 32, 0.039
xfs, 32, 0.078
xfs, 32, 0.065
xfs, 32, 0.076

btrfs, .00390625, 0.095
btrfs, .00390625, 0.023
btrfs, .00390625, 0.015
btrfs, .00390625, 0.024
btrfs, .00390625, 0.032
btrfs, .0078125, 0.016
btrfs, .0078125, 0.025
btrfs, .0078125, 0.025
btrfs, .0078125, 0.039
btrfs, .0078125, 0.024
btrfs, .015625, 0.039
btrfs, .015625, 0.025
btrfs, .015625, 0.015
btrfs, .015625, 0.015
btrfs, .015625, 0.023
btrfs, .03125, 0.015
btrfs, .03125, 0.025
btrfs, .03125, 0.007
btrfs, .03125, 0.007
btrfs, .03125, 0.032
btrfs, .0625, 0.015
btrfs, .0625, 0.008
btrfs, .0625, 0.025
btrfs, .0625, 0.041
btrfs, .0625, 0.007
btrfs, .125, 0.007
btrfs, .125, 0.023
btrfs, .125, 0.032
btrfs, .125, 0.024
btrfs, .125, 0.015
btrfs, .25, 0.023
btrfs, .25, 0.041
btrfs, .25, 0.156
btrfs, .25, 0.023
btrfs, .25, 0.015
btrfs, .5, 0.015
btrfs, .5, 0.007
btrfs, .5, 0.015
btrfs, .5, 0.025
btrfs, .5, 0.023
btrfs, 1, 0.015
btrfs, 1, 0.007
btrfs, 1, 0.024
btrfs, 1, 0.023
btrfs, 1, 0.016
btrfs, 2, 0.015
btrfs, 2, 0.008
btrfs, 2, 0.016
btrfs, 2, 0.016
btrfs, 2, 0.015
btrfs, 3, 0.032
btrfs, 3, 0.016
btrfs, 3, 0.016
btrfs, 3, 0.057
btrfs, 3, 0.015
btrfs, 4, 0.015
btrfs, 4, 0.032
btrfs, 4, 0.016
btrfs, 4, 0.032
btrfs, 4, 0.024
btrfs, 5, 0.015
btrfs, 5, 0.024
btrfs, 5, 0.033
btrfs, 5, 0.024
btrfs, 5, 0.016
btrfs, 6, 0.003
btrfs, 6, 0.33
btrfs, 6, 0.015
btrfs, 6, 0.032
btrfs, 6, 0.024
btrfs, 8, 0.14
btrfs, 8, 0.024
btrfs, 8, 0.15
btrfs, 8, 0.024
btrfs, 8, 0.016
btrfs, 16, 0.007
btrfs, 16, 0.008
btrfs, 16, 0.039
btrfs, 16, 0.024
btrfs, 16, 0.007
btrfs, 32, 0.023
btrfs, 32, 0.016
btrfs, 32, 0.024
btrfs, 32, 0.016
btrfs, 32, 0.015

zfs, .00390625, 0.040
zfs, .00390625, 0.055
zfs, .00390625, 0.040
zfs, .00390625, 0.044
zfs, .00390625, 0.040
zfs, .0078125, 0.040
zfs, .0078125, 0.044
zfs, .0078125, 0.040
zfs, .0078125, 0.044
zfs, .0078125, 0.057
zfs, .015625, 0.044
zfs, .015625, 0.040
zfs, .015625, 0.040
zfs, .015625, 0.044
zfs, .015625, 0.040
zfs, .03125, 0.040
zfs, .03125, 0.049
zfs, .03125, 0.040
zfs, .03125, 0.051
zfs, .03125, 0.044
zfs, .0625, 0.046
zfs, .0625, 0.040
zfs, .0625, 0.040
zfs, .0625, 0.044
zfs, .0625, 0.040
zfs, .125, 0.040
zfs, .125, 0.076
zfs, .125, 0.040
zfs, .125, 0.058
zfs, .125, 0.044
zfs, .25, 0.040
zfs, .25, 0.044
zfs, .25, 0.040
zfs, .25, 0.044
zfs, .25, 0.040
zfs, .5, 0.040
zfs, .5, 0.044
zfs, .5, 0.040
zfs, .5, 0.052
zfs, .5, 0.040
zfs, 1, 0.158
zfs, 1, 0.044
zfs, 1, 0.040
zfs, 1, 0.050
zfs, 1, 0.057
zfs, 2, 0.075
zfs, 2, 0.044
zfs, 2, 0.065
zfs, 2, 0.040
zfs, 2, 0.044
zfs, 3, 0.066
zfs, 3, 0.034
zfs, 3, 0.040
zfs, 3, 0.052
zfs, 3, 0.040
zfs, 4, 0.066
zfs, 4, 0.044
zfs, 4, 0.040
zfs, 4, 0.040
zfs, 4, 0.044
zfs, 5, 0.058
zfs, 5, 0.040
zfs, 5, 0.040
zfs, 5, 0.044
zfs, 5, 0.040
zfs, 6, 0.058
zfs, 6, 0.044
zfs, 6, 0.040
zfs, 6, 0.040
zfs, 6, 0.040
zfs, 8, 0.058
zfs, 8, 0.044
zfs, 8, 0.040
zfs, 8, 0.040
zfs, 8, 0.040
zfs, 16, 0.058
zfs, 16, 0.061
zfs, 16, 0.059
zfs, 16, 0.040
zfs, 16, 0.044
zfs, 32, 0.058
zfs, 32, 0.040
zfs, 32, 0.040
zfs, 32, 0.040
zfs, 32, 0.044
