fs, data.set, circle.size.4kb, op, time.s
BetrFS-0.2, linuxsrc, 512, grep, 5.503
BetrFS-0.2, linuxsrc, 512, grep, 5.011
BetrFS-0.2, linuxsrc, 512, grep, 5.036
BetrFS-0.2, linuxsrc, 512, grep, 5.527
BetrFS-0.2, linuxsrc, 512, grep, 4.970
BetrFS-0.2, linuxsrc, 512, grep, 4.936
BetrFS-0.2, linuxsrc, 512, grep, 4.953
BetrFS-0.2, linuxsrc, 512, grep, 5.028
BetrFS-0.2, linuxsrc, 512, grep, 5.011
BetrFS-0.2, linuxsrc, 512, grep, 5.052
BetrFS-0.2, linuxsrc, 512, grep, 5.152
BetrFS-0.2, linuxsrc, 512, grep, 4.995
BetrFS-0.2, linuxsrc, 512, grep, 5.010
BetrFS-0.2, linuxsrc, 512, grep, 5.484
BetrFS-0.2, linuxsrc, 512, grep, 4.928
BetrFS-0.2, linuxsrc, 512, grep, 4.995
BetrFS-0.2, linuxsrc, 512, grep, 5.552
BetrFS-0.2, linuxsrc, 512, grep, 4.928
BetrFS-0.2, linuxsrc, 512, grep, 4.936
BetrFS-0.2, linuxsrc, 512, grep, 5.336
BetrFS-0.2, linuxsrc, 512, grep, 4.945
BetrFS-0.2, linuxsrc, 512, grep, 4.961
BetrFS-0.2, linuxsrc, 512, grep, 4.953
BetrFS-0.2, linuxsrc, 512, grep, 4.986
BetrFS-0.2, linuxsrc, 512, grep, 4.920
BetrFS-0.2, linuxsrc, 512, grep, 4.945
BetrFS-0.2, linuxsrc, 512, grep, 4.986
BetrFS-0.2, linuxsrc, 512, grep, 4.945
BetrFS-0.2, linuxsrc, 512, grep, 5.078
BetrFS-0.2, linuxsrc, 512, grep, 5.486
BetrFS-0.2, linuxsrc, 512, grep, 5.020
BetrFS-0.2, linuxsrc, 512, grep, 4.953
BetrFS-0.2, linuxsrc, 512, grep, 5.527
BetrFS-0.2, linuxsrc, 512, grep, 4.870
BetrFS-0.2, linuxsrc, 512, grep, 4.911
BetrFS-0.2, linuxsrc, 512, grep, 4.886
BetrFS-0.2, linuxsrc, 512, grep, 4.903
BetrFS-0.2, linuxsrc, 512, grep, 4.920
BetrFS-0.2, linuxsrc, 512, grep, 4.978
BetrFS-0.2, linuxsrc, 512, grep, 4.920
BetrFS-0.2, linuxsrc, 512, grep, 4.986
#######################################
BetrFS-0.2, linuxsrc, 256, grep, 5.705
BetrFS-0.2, linuxsrc, 256, grep, 4.988
BetrFS-0.2, linuxsrc, 256, grep, 5.146
BetrFS-0.2, linuxsrc, 256, grep, 5.293
BetrFS-0.2, linuxsrc, 256, grep, 5.471
BetrFS-0.2, linuxsrc, 256, grep, 5.429
BetrFS-0.2, linuxsrc, 256, grep, 5.421
BetrFS-0.2, linuxsrc, 256, grep, 5.355
BetrFS-0.2, linuxsrc, 256, grep, 5.496
BetrFS-0.2, linuxsrc, 256, grep, 5.937
BetrFS-0.2, linuxsrc, 256, grep, 5.430
BetrFS-0.2, linuxsrc, 256, grep, 5.979
BetrFS-0.2, linuxsrc, 256, grep, 6.012
BetrFS-0.2, linuxsrc, 256, grep, 5.521
BetrFS-0.2, linuxsrc, 256, grep, 5.421
BetrFS-0.2, linuxsrc, 256, grep, 5.979
BetrFS-0.2, linuxsrc, 256, grep, 5.496
BetrFS-0.2, linuxsrc, 256, grep, 5.479
BetrFS-0.2, linuxsrc, 256, grep, 6.037
BetrFS-0.2, linuxsrc, 256, grep, 5.479
BetrFS-0.2, linuxsrc, 256, grep, 5.538
BetrFS-0.2, linuxsrc, 256, grep, 6.037
BetrFS-0.2, linuxsrc, 256, grep, 5.546
BetrFS-0.2, linuxsrc, 256, grep, 5.521
BetrFS-0.2, linuxsrc, 256, grep, 5.513
BetrFS-0.2, linuxsrc, 256, grep, 5.480
BetrFS-0.2, linuxsrc, 256, grep, 5.529
BetrFS-0.2, linuxsrc, 256, grep, 5.521
BetrFS-0.2, linuxsrc, 256, grep, 5.538
BetrFS-0.2, linuxsrc, 256, grep, 5.529
BetrFS-0.2, linuxsrc, 256, grep, 5.446
BetrFS-0.2, linuxsrc, 256, grep, 5.937
BetrFS-0.2, linuxsrc, 256, grep, 5.446
BetrFS-0.2, linuxsrc, 256, grep, 5.512
BetrFS-0.2, linuxsrc, 256, grep, 5.962
BetrFS-0.2, linuxsrc, 256, grep, 5.504
BetrFS-0.2, linuxsrc, 256, grep, 5.521
BetrFS-0.2, linuxsrc, 256, grep, 5.979
BetrFS-0.2, linuxsrc, 256, grep, 5.438
BetrFS-0.2, linuxsrc, 256, grep, 5.438
BetrFS-0.2, linuxsrc, 256, grep, 5.504
BetrFS-0.2, linuxsrc, 256, grep, 5.471
BetrFS-0.2, linuxsrc, 256, grep, 5.488
BetrFS-0.2, linuxsrc, 256, grep, 5.496
BetrFS-0.2, linuxsrc, 256, grep, 5.538
BetrFS-0.2, linuxsrc, 256, grep, 5.504
BetrFS-0.2, linuxsrc, 256, grep, 5.480
BetrFS-0.2, linuxsrc, 256, grep, 5.946
BetrFS-0.2, linuxsrc, 256, grep, 5.504
BetrFS-0.2, linuxsrc, 256, grep, 5.521
#######################################
BetrFS-0.2, linuxsrc, 128, grep, 5.786
BetrFS-0.2, linuxsrc, 128, grep, 5.698
BetrFS-0.2, linuxsrc, 128, grep, 5.731
BetrFS-0.2, linuxsrc, 128, grep, 6.080
BetrFS-0.2, linuxsrc, 128, grep, 5.723
BetrFS-0.2, linuxsrc, 128, grep, 6.129
BetrFS-0.2, linuxsrc, 128, grep, 5.713
BetrFS-0.2, linuxsrc, 128, grep, 5.755
BetrFS-0.2, linuxsrc, 128, grep, 5.697
BetrFS-0.2, linuxsrc, 128, grep, 5.647
BetrFS-0.2, linuxsrc, 128, grep, 5.780
BetrFS-0.2, linuxsrc, 128, grep, 5.746
BetrFS-0.2, linuxsrc, 128, grep, 5.730
BetrFS-0.2, linuxsrc, 128, grep, 5.796
BetrFS-0.2, linuxsrc, 128, grep, 5.772
BetrFS-0.2, linuxsrc, 128, grep, 5.805
BetrFS-0.2, linuxsrc, 128, grep, 6.171
BetrFS-0.2, linuxsrc, 128, grep, 5.726
BetrFS-0.2, linuxsrc, 128, grep, 5.772
BetrFS-0.2, linuxsrc, 128, grep, 6.179
BetrFS-0.2, linuxsrc, 128, grep, 5.829
BetrFS-0.2, linuxsrc, 128, grep, 5.763
BetrFS-0.2, linuxsrc, 128, grep, 6.288
BetrFS-0.2, linuxsrc, 128, grep, 5.746
BetrFS-0.2, linuxsrc, 128, grep, 5.805
BetrFS-0.2, linuxsrc, 128, grep, 6.263
BetrFS-0.2, linuxsrc, 128, grep, 5.722
BetrFS-0.2, linuxsrc, 128, grep, 5.821
BetrFS-0.2, linuxsrc, 128, grep, 6.304
BetrFS-0.2, linuxsrc, 128, grep, 5.813
BetrFS-0.2, linuxsrc, 128, grep, 5.747
BetrFS-0.2, linuxsrc, 128, grep, 6.192
BetrFS-0.2, linuxsrc, 128, grep, 5.805
BetrFS-0.2, linuxsrc, 128, grep, 5.805
BetrFS-0.2, linuxsrc, 128, grep, 6.213
BetrFS-0.2, linuxsrc, 128, grep, 5.821
BetrFS-0.2, linuxsrc, 128, grep, 5.780
BetrFS-0.2, linuxsrc, 128, grep, 6.121
BetrFS-0.2, linuxsrc, 128, grep, 5.705
BetrFS-0.2, linuxsrc, 128, grep, 5.806
BetrFS-0.2, linuxsrc, 128, grep, 6.296
BetrFS-0.2, linuxsrc, 128, grep, 5.747
BetrFS-0.2, linuxsrc, 128, grep, 5.747
BetrFS-0.2, linuxsrc, 128, grep, 6.196
BetrFS-0.2, linuxsrc, 128, grep, 5.813
BetrFS-0.2, linuxsrc, 128, grep, 5.796
BetrFS-0.2, linuxsrc, 128, grep, 6.196
BetrFS-0.2, linuxsrc, 128, grep, 5.838
BetrFS-0.2, linuxsrc, 128, grep, 5.722
BetrFS-0.2, linuxsrc, 128, grep, 6.154
######################################
BetrFS-0.2, linuxsrc, 64, grep, 6.388
BetrFS-0.2, linuxsrc, 64, grep, 6.205
BetrFS-0.2, linuxsrc, 64, grep, 6.945
BetrFS-0.2, linuxsrc, 64, grep, 6.120
BetrFS-0.2, linuxsrc, 64, grep, 6.353
BetrFS-0.2, linuxsrc, 64, grep, 6.337
BetrFS-0.2, linuxsrc, 64, grep, 6.378
BetrFS-0.2, linuxsrc, 64, grep, 6.578
BetrFS-0.2, linuxsrc, 64, grep, 6.484
BetrFS-0.2, linuxsrc, 64, grep, 6.587
BetrFS-0.2, linuxsrc, 64, grep, 6.562
