file_size aged_time aged_layout_score  clean_time clean_layout_score  cleaner_time cleaner_layout_score 
4096 4.18173909187 0.05302206231 3.75711488724 0.0792380208624 3.70977902412 0.0792380208624 
8192 2.72674798965 0.498133792707 2.56709194183 0.521389606661 2.53413915634 0.521389606661 
16384 2.39977502823 0.730666122734 1.61164999008 0.752986770791 1.5904610157 0.752986770791 
32768 1.54830789566 0.849684519442 1.10718798637 0.867768352461 1.09092712402 0.867768352461 
65536 1.07955384254 0.909795028861 0.93296790123 0.922360980207 0.910850048065 0.922360980207 
131072 0.922462940216 0.939991149137 0.90073299408 0.951464904258 0.885061979294 0.951464904258 
262144 0.662804841995 0.955234017422 0.67628288269 0.966098691787 0.665898084641 0.966098691787 
524288 0.582822084427 0.962806499261 0.603222846985 0.973676435831 0.586073160172 0.973676435831 
1048576 0.596214056015 0.9665208912 0.577614784241 0.978959810875 0.572580099106 0.978959810875 
2097152 0.514779090881 0.968526508659 0.483533859253 0.981469988474 0.490808963776 0.981469988474 
4194304 0.424870967865 0.969499940891 0.431029081345 0.982089552239 0.419754981995 0.982089552239 
