pulls_performed fs_size aged_time blocks_written
0 278276 3.55557179451 0
100 290576 5.25090003014 19615
200 295632 7.9439470768 10803
300 304240 11.209072113 15175
400 310788 13.2460589409 13315
500 316676 15.5024437904 15375
600 322420 17.2534029484 14267
700 328444 19.1868481636 17594
800 337152 22.7821362019 31590
900 343632 25.2084829807 26600
1000 351052 27.1970250607 27010
1100 357456 28.9946000576 27288
1200 363472 31.0506310463 26784
1300 373776 34.9307868481 28367
1400 378728 36.8307850361 23381
1500 384708 38.8615620136 24839
1600 392192 40.757117033 27520
1700 397604 41.4012818336 29982
1800 404088 43.625729084 26412
1900 410132 45.0035130978 34609
2000 416544 46.9830708504 34539
2100 423280 48.33112216 34129
2200 428376 49.2565791607 36941
2300 433424 50.8483121395 37404
2400 439344 51.7169680595 37159
2500 449460 54.7361140251 41786
2600 457112 56.8007209301 38571
2700 465816 60.1688029766 41947
2800 475016 62.9859678745 40187
2900 482480 65.0355849266 31562
3000 489648 67.2927420139 43279
3100 497524 68.9578158855 41908
3200 505388 71.5855879784 49253
3300 513548 73.8987441063 48854
3400 523252 75.5895340443 46912
3500 531568 78.6730720997 47860
3600 539300 80.9479341507 50187
3700 546652 82.9803249836 47478
3800 557100 86.0734939575 64363
3900 565444 88.5324759483 58925
4000 572924 90.2842950821 50499
4100 579088 92.4480090141 49234
4200 587492 94.5219290257 56148
4300 594028 96.9503290653 52225
4400 599756 98.6952340603 52756
4500 606144 99.7335009575 53929
4600 612432 101.364223957 54372
4700 618608 102.476678133 50356
4800 626856 105.599216938 66717
4900 635072 108.30015707 71855
5000 641688 110.034579992 67331
5100 650680 111.800179005 67622
5200 656420 113.692295074 62889
5300 662636 115.086491823 65576
5400 671152 116.987238884 68862
5500 678588 119.219180822 68368
5600 684016 120.420549154 74818
5700 689804 121.871208906 70062
5800 698352 124.287295103 69686
5900 704744 125.524501085 71507
6000 712128 127.630910873 71854
6100 718516 129.059206963 69996
6200 727252 131.876436949 68332
6300 733768 133.553623199 72940
6400 741016 134.521810055 73171
6500 748744 136.542107105 89000
6600 756696 139.008170843 89283
6700 764988 140.869329929 92317
6800 779512 144.39696002 99414
6900 789760 147.113541126 88020
7000 797220 150.099683046 85264
7100 803888 151.450580835 93030
7200 810632 153.436410189 95467
7300 817064 155.234484196 86938
7400 823376 157.275506973 87628
7500 832124 158.193031073 96385
7600 842484 163.091679096 96531
7700 848952 164.394768 84204
7800 857684 168.09832716 96581
7900 866688 170.425163031 99221
8000 874500 172.408977032 106816
8100 883828 174.137811184 98038
8200 891224 176.404112101 104974
8300 899212 178.167855978 109743
8400 905624 179.357033014 103301
8500 915252 182.622653961 108689
8600 922492 185.03174901 98647
8700 929468 186.74238205 115988
8800 938368 189.314807177 117049
8900 943876 191.583605051 100242
9000 950128 192.654095888 99226
9100 957068 194.892892122 118230
9200 963504 196.227802992 104914
9300 970540 199.212016106 116725
9400 977540 200.154354811 102979
9500 984008 201.634474993 99872
9600 990708 204.467503071 84201
9700 999148 205.662916899 125429
9800 1006216 206.949408054 121927
9900 1013320 209.600687981 119273
10000 1020600 210.731354952 120661
