pulls_performed fs_size aged_time blocks_written
0 286484 3.71768593788 0
100 290560 5.69151592255 18626
200 295616 8.49160313606 9390
300 304240 12.1962339878 11506
400 310764 14.4784719944 11367
500 316676 17.0556681156 11809
600 322404 19.2556581497 12067
700 328444 21.4753708839 17990
800 337152 25.9488790035 21951
900 343624 28.5092840195 20611
1000 351044 31.4668669701 19421
1100 357448 34.9084560871 19532
1200 363456 37.3624358177 17830
1300 373760 41.3984839916 17854
1400 378704 42.8789510727 17467
1500 384692 45.159730196 24596
1600 392184 47.6803839207 20053
1700 397580 49.0890500546 23243
1800 404088 51.4036960602 24983
1900 410116 53.2511398792 26097
2000 416536 55.4569680691 24619
2100 423264 57.3357858658 24262
2200 428376 58.7062308788 24936
2300 433416 60.5626981258 24048
2400 439344 62.44678092 24814
2500 449460 65.3829219341 27438
2600 457120 68.1591980457 30898
2700 465816 71.1028680801 34246
2800 475000 74.1062550545 33959
2900 482464 76.3196270466 29772
3000 489656 80.1459619999 31013
3100 497516 82.2238140106 29952
3200 505388 84.9977390766 33703
3300 513548 87.965857029 33520
3400 523252 91.0209851265 34969
3500 531560 93.6609699726 38627
3600 539308 96.1000680923 36502
3700 546652 99.1252980232 34699
3800 557092 102.619627953 39432
3900 565452 105.620460987 35188
4000 572884 107.73534894 33596
4100 579080 110.764018059 39994
4200 587460 113.643784046 46761
4300 593988 116.130331993 44552
4400 599764 117.744107962 42029
4500 606152 119.390805006 42390
4600 612440 121.971107006 43312
4700 618592 123.172389984 34660
4800 626856 125.825432062 46811
4900 635072 129.462428093 49921
5000 641704 132.299499989 46516
5100 650664 134.95522809 45754
5200 656380 136.777819872 43993
5300 662620 138.423362017 44142
5400 671160 140.506997108 45084
5500 678556 142.548945189 55177
5600 684024 143.873950958 43591
5700 689788 145.436300039 54356
5800 698296 148.466253996 49432
5900 704732 151.358511209 55087
6000 712116 153.834228039 53265
6100 718552 155.850996017 45638
6200 727240 158.20706296 45947
6300 733756 160.710079908 47925
6400 741028 162.535737038 48424
6500 748772 164.554524899 54809
6600 756668 167.153471947 59816
6700 765008 171.014170885 60202
6800 779532 174.490323067 65921
6900 789788 177.722728014 60480
7000 797200 180.394664049 58022
7100 803884 181.964557886 56841
7200 810604 184.242396116 63726
7300 817012 187.595182896 60494
7400 823324 189.284975052 59864
7500 832104 192.263581038 67453
7600 842480 195.573301077 63950
7700 848940 197.932125092 56162
7800 857672 201.249123096 62475
7900 866660 205.498281956 68426
8000 874488 208.116254091 71326
8100 883840 210.498589993 65139
8200 891212 212.29619813 69271
8300 899208 215.272963047 78695
8400 905604 216.26286006 64342
8500 915272 221.73319006 70219
8600 922480 222.22747612 70736
8700 929456 225.238068104 69907
8800 938364 228.353084087 74234
8900 943856 229.486000061 67156
9000 950068 231.822857857 66189
9100 957072 234.548197031 69488
9200 963476 236.99407196 68266
9300 970544 238.089054108 69746
9400 977536 240.615776062 75315
9500 983980 241.945867062 76434
9600 990672 246.081481934 74118
9700 999152 248.401932001 81012
9800 1006204 249.023483038 83273
9900 1013316 252.007885933 81110
10000 1020604 254.226724148 81584
