pulls_performed fs_size aged_time blocks_written
0 249272 4.71257090569 0
100 290548 7.5013449192 17650
200 295588 11.7812259197 8151
300 304212 17.1938121319 10242
400 310744 20.8728661537 8476
500 316664 24.910451889 8401
600 322408 28.4818549156 11860
700 328424 33.6642248631 10945
800 337140 41.7106389999 13451
900 343604 46.6140460968 11215
1000 351032 51.3759589195 11553
1100 357436 56.3185009956 10439
1200 363460 62.2831819057 14758
1300 373748 68.9245860577 13103
1400 378708 73.0048081875 12036
1500 384680 76.7396099567 11609
1600 392172 81.9842429161 15409
1700 397584 85.0728509426 12799
1800 404076 89.2810759544 14269
1900 410112 92.3722229004 12863
2000 416524 97.1173498631 13179
2100 423252 100.422479153 11744
2200 428372 104.971519947 12845
2300 433428 107.410947084 16718
2400 439332 111.167382002 16591
2500 449432 116.594578981 20504
2600 457100 121.584790945 16244
2700 465812 128.389245033 18663
2800 474988 133.991910934 17175
2900 482468 138.646012068 18792
3000 489636 144.55581212 16897
3100 497488 148.939255953 17784
3200 505376 154.741040945 18876
3300 513520 160.837267876 21563
3400 523240 166.476087809 18662
3500 531556 171.779034138 18266
3600 539272 177.871994019 21744
3700 546608 182.222975969 19575
3800 557056 188.420809984 26858
3900 565440 196.820736885 18955
4000 572880 204.65318203 20487
4100 579036 205.976897001 18855
4200 587448 213.277839899 26227
4300 593984 216.76397109 21825
4400 599728 221.791157961 22849
4500 606116 228.59649086 21193
4600 612404 231.232009172 21530
4700 618612 232.364239931 22880
4800 626828 237.015196085 26585
4900 635052 244.640822887 26140
5000 641676 249.271506071 25363
5100 650644 257.498461008 24738
5200 656368 265.383479118 20701
5300 662608 266.156239986 21467
5400 671140 269.535233974 25855
5500 678552 273.791073084 26847
5600 683988 276.895195961 24858
5700 689808 280.39174509 23679
5800 698292 284.377784967 25505
5900 704684 288.967747927 29521
6000 712092 299.234527111 28047
6100 718488 302.807235003 29652
6200 727216 308.559044838 27118
6300 733700 313.818454981 30146
6400 740972 315.636383057 31947
6500 748732 318.553584099 30349
6600 756668 327.91079998 28449
6700 764976 334.777530193 31033
6800 779492 339.922219038 39036
6900 789732 350.461604834 33730
7000 797192 356.397320032 33830
7100 803884 356.771870136 29833
7200 810604 364.198060989 28810
7300 817012 371.615978956 28682
7400 823300 369.104506016 30242
7500 832088 373.841526031 39577
7600 842472 383.023481846 37333
7700 848932 384.430356026 29327
7800 857656 400.330995083 34122
7900 866692 406.981609821 36367
8000 874496 409.161403179 37179
8100 883800 412.366705894 33887
8200 891196 418.484960079 37498
8300 899184 421.69016099 38667
8400 905596 423.789284945 30346
8500 915208 430.929517031 39523
8600 922472 434.975105047 34370
8700 929424 441.472429037 34582
8800 938340 447.169903994 38041
8900 943840 449.417719841 34856
9000 950052 456.458302021 33775
9100 957024 470.594040871 37637
9200 963460 474.30217886 38523
9300 970512 481.904136896 37166
9400 977512 487.721087933 38483
9500 983964 486.586273909 37145
9600 990656 490.127442837 39042
9700 999144 492.291949034 44724
9800 1006180 497.983850956 44959
9900 1013292 502.205847979 42959
10000 1020596 506.297529936 40879
