fs_size aged_time clean_time aged_layout_score clean_layout_score blocks_written logical_bytes_written
17396 6.049808025360107 0 0.95632080257 0 203088 170090640
322476 11.309782028198242 0 0.940844166713 0 109224 172211639
327916 15.033237934112549 0 0.928503611971 0 145584 430655336
337352 20.61906099319458 0 0.914591225384 0 143216 318597655
343860 24.174017906188965 0 0.897460259456 0 167848 352443018
350364 32.59851002693176 0 0.89385961491 0 135752 373282457
354908 32.820794105529785 0 0.887574723555 0 168984 323380126
362420 39.549702882766724 0 0.879076362163 0 222760 355968615
371892 46.53450608253479 0 0.862118509711 0 222016 391241934
379524 49.29810690879822 0 0.85282728461 0 185112 384407790
387256 54.55920100212097 0 0.839611924317 0 186448 331450742
392704 59.31292200088501 0 0.827302367063 0 200960 378160612
400656 69.09807205200195 0 0.829555270223 0 191632 511871521
409856 72.88671588897705 0 0.822824565596 0 211960 481191804
417628 74.70235991477966 0 0.817270685432 0 203120 450897308
422220 80.5522289276123 0 0.811792899738 0 225880 487980457
430620 85.42203187942505 0 0.806078687302 0 214640 498289638
437324 88.97657108306885 0 0.801443690638 0 226248 346582907
444368 93.21054100990295 0 0.796835524344 0 235400 462650890
450336 96.89002013206482 0 0.791703713112 0 218792 507281473
455392 100.35303592681885 0 0.786783172876 0 243360 474433799
462284 106.62141990661621 0 0.783140123572 0 232920 432646190
467880 110.3377411365509 0 0.779473678819 0 232912 356615443
472672 111.38419318199158 0 0.775603173637 0 245296 405784115
478904 115.43628597259521 0 0.771884034693 0 316264 443277052
489720 119.68847799301147 0 0.767752337321 0 267792 458357001
495408 125.75718593597412 0 0.763790212366 0 292576 488106224
504204 131.43445682525635 0 0.757575180271 0 298096 485051776
518708 138.46041703224182 0 0.751749691231 0 296776 507209560
526136 146.22140097618103 0 0.746278030219 0 291000 497974766
533704 153.63710498809814 0 0.740313859228 0 310824 495929582
543152 160.67159795761108 0 0.736767337104 0 335144 464483005
551772 163.38385891914368 0 0.730792766746 0 348040 506013439
559808 168.14560389518738 0 0.726070528967 0 343280 488973845
571796 174.93997883796692 0 0.722102275171 0 349432 495593631
581784 179.90979599952698 0 0.71848116286 0 345512 512526117
589348 191.60924983024597 0 0.713437181053 0 367688 516328721
597652 195.2572259902954 0 0.708328853676 0 374952 477032027
609768 203.12063717842102 0 0.70600316597 0 353048 515791657
617984 207.59936690330505 0 0.703117740359 0 341800 487438922
625000 206.6256079673767 0 0.67941959931 0 340904 500483904
630924 216.75399518013 0 0.698321214881 0 415248 474137584
641068 220.45011496543884 0 0.695397755456 0 352768 479355734
648340 223.86896800994873 0 0.692153999846 0 356584 464486213
654856 233.16745710372925 0 0.688847577979 0 360112 476106782
661320 235.40702199935913 0 0.686175877461 0 374632 484587833
668104 238.40484285354614 0 0.683905032954 0 387104 515618718
674552 239.17901492118835 0 0.681676545175 0 412808 487940344
684712 247.42100501060486 0 0.677991744885 0 425504 498770115
692212 251.59164786338806 0 0.674650046128 0 386216 464323953
698044 256.8416278362274 0 0.672085823313 0 415912 493929537
710876 269.33157992362976 0 0.670020506198 0 410360 435001349
716320 270.702605009079 0 0.66765283912 0 393656 463214289
722812 279.0115900039673 0 0.665447080674 0 444640 519911190
732200 282.7409129142761 0 0.66351106876 0 432904 492742578
739760 281.64007806777954 0 0.660858018945 0 403600 515459514
745568 285.5393080711365 0 0.65962037119 0 447184 477149063
750268 288.36139607429504 0 0.658268834285 0 396824 460277829
760240 302.91360998153687 0 0.656528729344 0 471048 491495572
766832 306.46942496299744 0 0.654598644499 0 461440 470664031
774324 305.43065190315247 0 0.654123450959 0 478120 452052129
781504 320.29419803619385 0 0.652279097596 0 461128 469528913
790460 317.8466248512268 0 0.651645667267 0 426456 439448694
796796 318.4467279911041 0 0.651005769133 0 466152 472183218
804260 322.4130449295044 0 0.650048399648 0 489488 473314255
812676 326.4971718788147 0 0.648851468265 0 452672 510221340
820892 344.81102085113525 0 0.646452621005 0 509392 472650217
830560 336.3940670490265 0 0.644379886621 0 543680 449048252
846388 357.56323885917664 0 0.643479256011 0 518808 533773021
857900 367.8108949661255 0 0.640242489079 0 490696 496883439
863760 374.43718695640564 0 0.638469154428 0 468472 485393132
871284 377.75872898101807 0 0.637345281827 0 503608 478835936
