pulls_performed fs_size aged_time blocks_written
0 265756 4.10225105286 0
100 290552 6.44577002525 18545
200 295608 9.53460812569 8242
300 304240 13.945194006 11043
400 310764 16.7151911259 10270
500 316660 19.6875209808 10408
600 322388 22.5220870972 10708
700 328444 25.5671679974 14603
800 337136 31.4432868958 17294
900 343608 35.3116059303 15781
1000 351028 39.5086510181 14057
1100 357440 42.5809249878 12985
1200 363432 46.0018799305 15654
1300 373752 51.3573429585 14040
1400 378672 52.9976069927 14386
1500 384684 55.7093667984 18418
1600 392176 59.4435260296 19234
1700 397588 61.3795189857 14617
1800 404096 65.1415469646 17421
1900 410108 68.248912096 16216
2000 416528 70.6382749081 19912
2100 423256 72.7196569443 15472
2200 428368 75.0837390423 16141
2300 433392 78.1033611298 20539
2400 439320 81.1050291061 21131
2500 449452 84.7380700111 24937
2600 457104 87.7477641106 21614
2700 465808 91.5953879356 23318
2800 474992 95.803497076 21067
2900 482464 98.4623198509 23105
3000 489640 102.141590118 22622
3100 497508 105.860849142 22244
3200 505388 109.921730995 25769
3300 513556 113.906650066 24828
3400 523244 121.579009056 24642
3500 531536 122.90161705 24069
3600 539308 126.16809392 27861
3700 546644 129.752501965 25910
3800 557084 134.648011923 28784
3900 565428 137.494318008 26462
4000 572868 140.314429045 24185
4100 579064 143.419714928 23088
4200 587484 147.228209019 31485
4300 594012 150.080530882 30683
4400 599756 153.643477917 28745
4500 606120 156.260660887 27303
4600 612440 159.274976969 26242
4700 618576 161.539245129 30603
4800 626848 166.849730015 28738
4900 635072 174.073139191 34795
5000 641688 174.779299021 31833
5100 650680 178.706079006 32097
5200 656396 180.296272993 31455
5300 662628 182.636203051 29806
5400 671152 186.30614686 36692
5500 678564 188.939016104 38262
5600 683992 191.910179853 32864
5700 689780 193.560780048 34699
5800 698296 196.479279995 34583
5900 704688 199.839489937 33771
6000 712088 202.912339926 40192
6100 718492 207.143927097 38728
6200 727252 209.561318159 37207
6300 733704 212.494781017 38676
6400 741008 215.72210598 37672
6500 748720 218.187977076 38680
6600 756664 220.854096174 35456
6700 764996 225.727852106 41681
6800 779528 230.606475115 42438
6900 789760 235.379887104 44311
7000 797220 239.303682089 38505
7100 803872 245.548015833 38338
7200 810560 244.95471406 34452
7300 817000 250.44705987 43080
7400 823312 251.786509991 40333
7500 832084 256.98367095 45371
7600 842476 260.195547104 43964
7700 848944 262.35977006 38388
7800 857700 266.96607399 43057
7900 866704 270.836154938 52600
8000 873732 276.239444017 42426
8100 883796 281.133697987 45569
8200 891200 286.278978109 47874
8300 899188 286.470077038 51555
8400 905584 289.816776991 44177
8500 915212 295.064657927 52528
8600 922468 295.650589943 45552
8700 929444 298.416229963 50090
8800 938344 303.603075027 51597
8900 943844 308.747612953 45972
9000 950072 309.261575937 50191
9100 957044 312.47241807 55406
9200 963472 315.145642042 54597
9300 970516 317.296284914 50080
9400 977516 320.511263847 52951
9500 983992 324.032841206 45976
9600 990684 326.066884041 46521
9700 999156 335.68908596 56259
9800 1006184 332.586501122 53717
9900 1013304 337.437595844 52884
10000 1020568 343.110743999 54572
