insertions,flushes,max_alpha
2.7,7098,1.68004
2.71,7135,1.65214
2.72,7138,1.65703
2.73,7178,1.6629
2.74,7223,1.66779
2.75,7246,1.6459
2.76,7220,1.65072
2.77,7273,1.6549
2.78,7277,1.65779
2.79,7296,1.66132
2.8,7301,1.66549
2.81,7301,1.66999
2.82,7331,1.64415
2.83,7332,1.64762
2.84,7320,1.65046
2.85,7372,1.65487
2.86,7419,1.65991
2.87,7373,1.66306
2.88,7437,1.66653
2.89,7473,1.67157
2.9,7431,1.6741
2.91,7465,1.67725
2.92,7479,1.55347
2.93,7462,1.55639
2.94,7478,1.5593
2.95,7517,1.55667
2.96,7473,1.559
2.97,7519,1.54958
2.98,7551,1.55131
2.99,7567,1.5516
3,7610,1.55391
3.01,7654,1.53784
3.02,7681,1.49579
3.03,7650,1.47837
3.04,7632,1.47174
3.05,7580,1.47256
3.06,7552,1.47338
3.07,7554,1.47392
3.08,7578,1.47446
3.09,7571,1.46087
3.1,7647,1.46114
3.11,7703,1.46141
3.12,7682,1.46168
3.13,7684,1.46168
3.14,7696,1.46222
3.15,7660,1.46357
3.16,7628,1.46384
3.17,7604,1.46438
3.18,7642,1.46492
3.19,7639,1.46546
3.2,7624,1.46626
3.21,7661,1.46626
3.22,7711,1.45035
3.23,7669,1.45142
3.24,7706,1.45275
3.25,7723,1.45302
3.26,7689,1.45382
3.27,7699,1.45568
3.28,7712,1.45568
3.29,7677,1.45728
3.3,7698,1.45808
3.31,7717,1.45915
3.32,7741,1.39795
3.33,7754,1.39846
3.34,7768,1.39871
3.35,7764,1.4005
3.36,7822,1.40177
3.37,7799,1.40305
3.38,7767,1.40483
3.39,7798,1.40585
3.4,7792,1.39898
3.41,7778,1.4005
3.42,7728,1.40278
3.43,7768,1.40405
3.44,7769,1.40532
3.45,7824,1.40785
3.46,7777,1.41089
3.47,7803,1.41343
3.48,7808,1.41647
3.49,7809,1.41977
3.5,7786,1.42357
3.51,7850,1.42661
3.52,7856,1.43066
3.53,7868,1.43624
3.54,7860,1.44131
3.55,7862,1.44612
3.56,7882,1.44815
3.57,7953,1.45094
3.58,7971,1.45398
3.59,8007,1.45753
3.6,8027,1.39707
3.61,8041,1.40046
3.62,8071,1.40482
3.63,8090,1.40991
3.64,8126,1.41597
3.65,8159,1.40732
3.66,8142,1.41452
3.67,8135,1.42172
3.68,8186,1.42604
3.69,8196,1.43107
3.7,8196,1.43563
3.71,8251,1.44067
3.72,8294,1.41707
3.73,8319,1.42295
3.74,8340,1.42977
3.75,8364,1.43707
3.76,8413,1.44483
3.77,8422,1.44073
3.78,8420,1.44843
3.79,8496,1.45403
3.8,8479,1.43444
3.81,8475,1.43255
3.82,8500,1.43869
3.83,8570,1.44641
3.84,8539,1.45391
3.85,8652,1.45735
3.86,8724,1.46801
3.87,8754,1.47436
3.88,8770,1.48048
3.89,8849,1.49137
3.9,8911,1.4979
3.91,8928,1.50492
3.92,8990,1.51624
3.93,9040,1.52119
3.94,9085,1.52931
3.95,9147,1.53991
3.96,9187,1.51782
3.97,9236,1.526
3.98,9259,1.53484
3.99,9314,1.54501
4,9299,1.5554
4.01,9311,1.56248
4.02,9365,1.57242
4.03,9442,1.58016
4.04,9463,1.59099
4.05,9539,1.56187
4.06,9601,1.56922
4.07,9608,1.57894
4.08,9622,1.58823
4.09,9674,1.59731
4.1,9709,1.60401
4.11,9801,1.61265
4.12,9863,1.62151
4.13,9964,1.62914
4.14,9966,1.6033
4.15,10001,1.60987
4.16,10033,1.61876
4.17,10097,1.6304
4.18,10101,1.63611
4.19,10186,1.61915
4.2,10275,1.62854
4.21,10293,1.63606
4.22,10342,1.64503
4.23,10382,1.61456
4.24,10454,1.61112
4.25,10428,1.61984
4.26,10468,1.62855
4.27,10491,1.63464
4.28,10573,1.64214
4.29,10557,1.64964
4.3,10639,1.65795
4.31,10720,1.66627
4.32,10801,1.67113
4.33,10810,1.676
4.34,10914,1.68249
4.35,10922,1.69202
4.36,10919,1.69709
4.37,10898,1.70215
4.38,10933,1.70783
4.39,10972,1.71513
4.4,11020,1.72142
4.41,11047,1.72649
4.42,11085,1.73196
4.43,11117,1.73885
4.44,11158,1.74311
4.45,11184,1.74778
4.46,11228,1.75305
4.47,11286,1.75609
4.48,11265,1.76075
