insertions,flushes,max_alpha
0.01,10000,1.10713
0.02,20000,1.13372
0.03,30000,1.21586
0.04,40000,1.21586
0.05,50000,1.45556
0.06,50000,1.26755
0.07,50000,1.26755
0.08,50000,1.26755
0.09,50000,1.20876
0.1,50000,1.47718
0.11,50000,1.76932
0.12,50000,1.29196
0.13,50000,1.29196
0.14,50000,1.29196
0.15,50000,1.29196
0.16,50000,1.29196
0.17,50000,1.21555
0.18,50000,1.25646
0.19,50000,1.37079
0.2,50000,1.55506
0.21,50000,1.67271
0.22,50000,1.71523
0.23,50000,1.74747
0.24,50000,1.72806
0.25,50000,1.59915
0.26,50000,1.31924
0.27,50000,1.31924
0.28,50000,1.31924
0.29,50000,1.31924
0.3,50000,1.31924
0.31,50000,1.31924
0.32,50000,1.31924
0.33,50000,1.24626
0.34,50000,1.24349
0.35,50000,1.26995
0.36,50000,1.27767
0.37,50000,1.34541
0.38,50000,1.41941
0.39,50000,1.41571
0.4,50000,1.5059
0.41,50000,1.60023
0.42,50000,1.66374
0.43,50000,1.678
0.44,50000,1.74832
0.45,50000,1.80997
0.46,50000,1.75884
0.47,50000,1.75033
0.48,50000,1.76196
0.49,50000,1.7289
0.5,50000,1.70066
0.51,50000,1.50925
0.52,50000,1.50925
0.53,50000,1.33794
0.54,50000,1.33794
0.55,50000,1.33794
0.56,50000,1.33794
0.57,50000,1.33794
0.58,50000,1.33794
0.59,50000,1.33794
0.6,50000,1.33794
0.61,50000,1.33794
0.62,50000,1.33351
0.63,50000,1.33351
0.64,50000,1.30422
0.65,50000,1.30676
0.66,50000,1.30808
0.67,50000,1.28343
0.68,50000,1.29098
0.69,50000,1.28254
0.7,50000,1.29835
0.71,50000,1.30486
0.72,50000,1.33122
0.73,50000,1.34446
0.74,50000,1.38093
0.75,50000,1.37282
0.76,50000,1.41035
0.77,50000,1.45699
0.78,50000,1.45321
0.79,50000,1.47874
0.8,50000,1.52382
0.81,50000,1.57478
0.82,50000,1.6306
0.83,50000,1.68212
0.84,50000,1.67749
0.85,50000,1.67115
0.86,50000,1.69374
0.87,50000,1.74174
0.88,50000,1.77365
0.89,50000,1.73126
0.9,50000,1.75321
0.91,50000,1.77707
0.92,50000,1.7952
0.93,50000,1.76371
0.94,50000,1.74864
0.95,50000,1.73889
0.96,50000,1.73633
0.97,50000,1.75044
0.98,50000,1.76103
0.99,50000,1.73616
1,50000,1.74306
1.01,50000,1.74909
1.02,50000,1.67484
1.03,50000,1.67731
1.04,50000,1.57171
1.05,50000,1.57247
1.06,50000,1.53817
1.07,50000,1.53817
1.08,50000,1.47698
1.09,50000,1.47698
1.1,50000,1.38828
1.11,50000,1.38828
1.12,50000,1.38828
1.13,50000,1.38828
1.14,50000,1.38828
1.15,50000,1.38828
1.16,50000,1.38828
1.17,50000,1.38828
1.18,50000,1.38828
1.19,50000,1.38828
1.2,50000,1.38896
1.21,50000,1.38896
1.22,50000,1.38896
1.23,50000,1.3833
1.24,50000,1.38397
1.25,50000,1.38182
1.26,50000,1.36219
1.27,50000,1.36351
1.28,50000,1.36484
1.29,50000,1.3655
1.3,50000,1.3365
1.31,50000,1.33843
1.32,50000,1.34166
1.33,50000,1.35006
1.34,50000,1.35717
1.35,50000,1.3604
1.36,50000,1.36686
1.37,50000,1.33388
1.38,50000,1.33953
1.39,50000,1.35209
1.4,50000,1.36277
1.41,50000,1.33725
1.42,50000,1.34825
1.43,50000,1.36048
1.44,50000,1.37942
1.45,50000,1.34189
1.46,50000,1.35422
1.47,50000,1.36889
1.48,50000,1.39179
1.49,50000,1.40758
1.5,50000,1.42568
1.51,50000,1.44204
1.52,50000,1.41598
1.53,50000,1.43507
1.54,50000,1.46035
1.55,50000,1.47888
1.56,50000,1.46278
1.57,50000,1.48695
1.58,50000,1.51277
1.59,50000,1.53254
1.6,50000,1.53857
1.61,50000,1.54984
1.62,50000,1.57189
1.63,50000,1.59393
1.64,50000,1.62242
1.65,50000,1.63456
1.66,50000,1.65918
1.67,50000,1.66198
1.68,50000,1.68345
1.69,50000,1.70283
1.7,50000,1.72274
1.71,50000,1.69668
1.72,50000,1.71349
1.73,50000,1.72772
1.74,50000,1.70278
1.75,50000,1.72358
1.76,50000,1.74141
1.77,50000,1.75924
1.78,50000,1.77657
1.79,50000,1.78995
1.8,50000,1.80233
1.81,50000,1.82263
1.82,50000,1.75699
1.83,50000,1.76836
1.84,50000,1.77832
1.85,50000,1.75684
1.86,50000,1.75459
1.87,50000,1.76428
1.88,50000,1.73018
1.89,50000,1.73737
1.9,50000,1.73861
1.91,50000,1.75026
1.92,50000,1.75922
1.93,50000,1.76415
1.94,50000,1.77446
1.95,50000,1.74489
1.96,50000,1.74972
1.97,50000,1.75412
1.98,50000,1.74931
1.99,50000,1.75411
2,50000,1.7563
2.01,50000,1.68612
2.02,50000,1.68629
2.03,50000,1.68922
2.04,50000,1.68792
2.05,50000,1.62724
2.06,50000,1.62451
2.07,50000,1.62691
2.08,50000,1.62891
2.09,50000,1.62971
2.1,50000,1.63051
2.11,50000,1.60397
2.12,50000,1.60515
2.13,50000,1.60554
2.14,50000,1.60633
2.15,50000,1.60711
2.16,50000,1.60711
2.17,50000,1.60711
2.18,50000,1.60711
2.19,50000,1.51901
2.2,50000,1.51559
2.21,50000,1.51559
2.22,50000,1.51596
2.23,50000,1.51596
2.24,50000,1.47927
2.25,50000,1.47963
2.26,50000,1.47963
2.27,50000,1.47963
2.28,50000,1.47963
2.29,50000,1.4679
2.3,50000,1.4679
2.31,50000,1.4679
2.32,50000,1.4679
2.33,50000,1.46825
2.34,50000,1.46825
2.35,50000,1.46861
2.36,50000,1.46897
2.37,50000,1.46897
2.38,50000,1.46897
2.39,50000,1.4123
2.4,50000,1.41264
2.41,50000,1.40623
2.42,50000,1.3954
2.43,50000,1.38173
2.44,50000,1.38173
2.45,50000,1.38173
2.46,50000,1.38207
2.47,50000,1.3824
