insertions,flushes,max_alpha
2.7,7049,1.63373
2.71,7071,1.64118
2.72,7109,1.64992
2.73,7143,1.61432
2.74,7149,1.62095
2.75,7176,1.62663
2.76,7207,1.63136
2.77,7195,1.63799
2.78,7257,1.64335
2.79,7294,1.62716
2.8,7309,1.6312
2.81,7329,1.63618
2.82,7368,1.61743
2.83,7406,1.62234
2.84,7418,1.6251
2.85,7447,1.62817
2.86,7451,1.59751
2.87,7488,1.60021
2.88,7498,1.60532
2.89,7512,1.60712
2.9,7540,1.61073
2.91,7574,1.5671
2.92,7584,1.57089
2.93,7583,1.57293
2.94,7636,1.57381
2.95,7674,1.57585
2.96,7668,1.56305
2.97,7654,1.56507
2.98,7682,1.56738
2.99,7650,1.56968
3,7661,1.57257
3.01,7671,1.554
3.02,7699,1.519
3.03,7702,1.5181
3.04,7710,1.51921
3.05,7644,1.52004
3.06,7692,1.52115
3.07,7672,1.50976
3.08,7698,1.51141
3.09,7714,1.51251
3.1,7770,1.51389
3.11,7751,1.50429
3.12,7755,1.50566
3.13,7732,1.50675
3.14,7726,1.50757
3.15,7721,1.50839
3.16,7727,1.50976
3.17,7771,1.51112
3.18,7761,1.51222
3.19,7773,1.51277
3.2,7794,1.51331
3.21,7775,1.51386
3.22,7819,1.51441
3.23,7812,1.51495
3.24,7822,1.51605
3.25,7804,1.51605
3.26,7810,1.51687
3.27,7771,1.45501
3.28,7802,1.41832
3.29,7785,1.41884
3.3,7797,1.41986
3.31,7809,1.42139
3.32,7819,1.41012
3.33,7793,1.40547
3.34,7815,1.40673
3.35,7791,1.40773
3.36,7807,1.40799
3.37,7786,1.40874
3.38,7847,1.41
3.39,7839,1.41025
3.4,7860,1.41126
3.41,7888,1.40416
3.42,7883,1.40517
3.43,7856,1.40792
3.44,7877,1.40892
3.45,7932,1.39677
3.46,7893,1.39925
3.47,7933,1.40222
3.48,7953,1.4052
3.49,7944,1.40743
3.5,7891,1.4104
3.51,7920,1.41189
3.52,7943,1.38221
3.53,7947,1.38609
3.54,7999,1.38717
3.55,8017,1.39056
3.56,8024,1.39491
3.57,8056,1.3983
3.58,8080,1.40166
3.59,8053,1.4048
3.6,8074,1.38299
3.61,8128,1.38632
3.62,8137,1.39084
3.63,8124,1.39559
3.64,8177,1.40058
3.65,8187,1.40581
3.66,8180,1.41033
3.67,8183,1.41556
3.68,8254,1.39666
3.69,8244,1.40016
3.7,8270,1.40716
3.71,8312,1.41159
3.72,8339,1.41929
3.73,8279,1.42535
3.74,8297,1.43118
3.75,8337,1.43888
3.76,8372,1.44588
3.77,8378,1.45101
3.78,8494,1.45894
3.79,8573,1.46758
3.8,8597,1.45353
3.81,8601,1.46043
3.82,8647,1.45703
3.83,8657,1.46594
3.84,8676,1.47211
3.85,8726,1.47965
3.86,8785,1.48925
3.87,8840,1.48931
3.88,8878,1.49544
3.89,8922,1.5034
3.9,8959,1.51113
3.91,8993,1.51977
3.92,9010,1.52932
3.93,9027,1.53773
3.94,9064,1.54637
3.95,9121,1.55546
3.96,9138,1.56342
3.97,9234,1.57001
3.98,9264,1.57751
3.99,9302,1.5857
4,9354,1.5957
4.01,9396,1.60252
4.02,9381,1.61025
4.03,9452,1.62184
4.04,9506,1.63094
4.05,9515,1.63799
4.06,9639,1.64594
4.07,9699,1.65413
4.08,9775,1.66231
4.09,9793,1.6705
4.1,9836,1.678
4.11,9785,1.68709
4.12,9774,1.69709
4.13,9796,1.70528
4.14,9868,1.59395
4.15,9952,1.60007
4.16,10021,1.60789
4.17,10102,1.61402
4.18,10151,1.62121
4.19,10193,1.62691
4.2,10243,1.63431
4.21,10300,1.64255
4.22,10336,1.64889
4.23,10367,1.65713
4.24,10353,1.66283
4.25,10376,1.66896
4.26,10422,1.67572
4.27,10459,1.68756
4.28,10495,1.6547
4.29,10579,1.6611
4.3,10573,1.66791
4.31,10596,1.67184
4.32,10654,1.67947
4.33,10666,1.68629
4.34,10673,1.66453
4.35,10772,1.67001
4.36,10782,1.63504
4.37,10799,1.63979
4.38,10839,1.64434
4.39,10870,1.64246
4.4,10850,1.64758
4.41,10940,1.65329
4.42,10969,1.65644
4.43,11024,1.65999
4.44,11037,1.6659
4.45,11101,1.66905
4.46,11091,1.67279
4.47,11104,1.67712
4.48,11131,1.68225
4.49,11171,1.68697
4.5,11175,1.69071
4.51,11209,1.69465
4.52,11232,1.68711
4.53,11235,1.69043
4.54,11275,1.69454
4.55,11308,1.69767
4.56,11305,1.68694
4.57,11325,1.68965
4.58,11330,1.66675
4.59,11369,1.67
4.6,11388,1.67591
4.61,11436,1.67858
4.62,11476,1.66126
4.63,11571,1.66522
4.64,11647,1.66842
4.65,11632,1.67088
4.66,11638,1.67355
4.67,11702,1.67619
4.68,11662,1.67976
4.69,11587,1.68334
4.7,11645,1.68598
4.71,11631,1.66224
4.72,11638,1.66502
4.73,11661,1.6678
4.74,11708,1.67076
4.75,11738,1.67392
4.76,11798,1.67688
4.77,11773,1.67929
4.78,11828,1.683
4.79,11864,1.68523
4.8,11835,1.68764
4.81,11894,1.62423
4.82,11939,1.62797
4.83,11960,1.62975
4.84,11962,1.631
4.85,12009,1.6342
4.86,11984,1.63741
4.87,11956,1.63919
4.88,11966,1.64097
4.89,11956,1.64311
4.9,11944,1.64489
4.91,11946,1.64685
4.92,11962,1.64935
4.93,11940,1.6522
4.94,11984,1.65416
4.95,12011,1.62802
4.96,12035,1.63029
4.97,12094,1.6331
4.98,12104,1.6366
4.99,12103,1.63993
