insertions,flushes,max_alpha
2.71,5460,1.57639
2.72,5468,1.58246
2.73,5482,1.58726
2.74,5495,1.59302
2.75,5507,1.55123
2.76,5516,1.55495
2.77,5531,1.56023
2.78,5548,1.55912
2.79,5544,1.56438
2.8,5553,1.56963
2.81,5565,1.57365
2.82,5573,1.57767
2.83,5593,1.55527
2.84,5622,1.55801
2.85,5643,1.56135
2.86,5667,1.55927
2.87,5697,1.56351
2.88,5703,1.56774
2.89,5714,1.56703
2.9,5732,1.57065
2.91,5742,1.55988
2.92,5744,1.56317
2.93,5756,1.56497
2.94,5764,1.56706
2.95,5764,1.56976
2.96,5768,1.57095
2.97,5781,1.57365
2.98,5790,1.57634
2.99,5799,1.53593
3,5820,1.53826
3.01,5837,1.50158
3.02,5843,1.50442
3.03,5853,1.49171
3.04,5864,1.48411
3.05,5867,1.48523
3.06,5876,1.48663
3.07,5882,1.48719
3.08,5891,1.4883
3.09,5898,1.48914
3.1,5893,1.49082
3.11,5885,1.49305
3.12,5882,1.49389
3.13,5886,1.49473
3.14,5886,1.42188
3.15,5903,1.42215
3.16,5915,1.42241
3.17,5922,1.42348
3.18,5917,1.42401
3.19,5932,1.42507
3.2,5930,1.41455
3.21,5935,1.41587
3.22,5936,1.41719
3.23,5939,1.39856
3.24,5937,1.39708
3.25,5937,1.39786
3.26,5932,1.39967
3.27,5924,1.40123
3.28,5929,1.40123
3.29,5928,1.40226
3.3,5933,1.40252
3.31,5939,1.40434
3.32,5955,1.38559
3.33,5958,1.38661
3.34,5960,1.38815
3.35,5966,1.38917
3.36,5979,1.3907
3.37,5988,1.39249
3.38,5999,1.39428
3.39,6017,1.38453
3.4,6030,1.38681
3.41,6039,1.38859
3.42,6045,1.39011
3.43,6048,1.39289
3.44,6042,1.39517
3.45,6047,1.3972
3.46,6052,1.40075
3.47,6059,1.40556
3.48,6072,1.40809
3.49,6087,1.41037
3.5,6084,1.40312
3.51,6089,1.40714
3.52,6097,1.41016
3.53,6110,1.41443
3.54,6116,1.42071
3.55,6139,1.42397
3.56,6156,1.4295
3.57,6173,1.43503
3.58,6178,1.43955
3.59,6192,1.44583
3.6,6213,1.4496
3.61,6224,1.45513
3.62,6237,1.45965
3.63,6277,1.47045
3.64,6298,1.39733
3.65,6308,1.40446
3.66,6346,1.40945
3.67,6383,1.41634
3.68,6399,1.42085
3.69,6434,1.43059
3.7,6465,1.42914
3.71,6472,1.43833
3.72,6504,1.44517
3.73,6531,1.45554
3.74,6552,1.46237
3.75,6585,1.47039
3.76,6627,1.47911
3.77,6658,1.48547
3.78,6692,1.49348
3.79,6737,1.50385
3.8,6770,1.51234
3.81,6801,1.52011
3.82,6821,1.5286
3.83,6841,1.5392
3.84,6866,1.54981
3.85,6895,1.55947
3.86,6928,1.57008
3.87,6959,1.58257
3.88,6999,1.59294
3.89,7051,1.60307
3.9,7096,1.61273
3.91,7154,1.62263
3.92,7214,1.56136
3.93,7263,1.57331
3.94,7293,1.58345
3.95,7339,1.59157
3.96,7376,1.6033
3.97,7418,1.60692
3.98,7476,1.61747
3.99,7531,1.62982
4,7585,1.63992
4.01,7624,1.62531
4.02,7669,1.61845
4.03,7691,1.62722
4.04,7712,1.63533
4.05,7732,1.64431
4.06,7768,1.6289
4.07,7798,1.63836
4.08,7832,1.63795
4.09,7888,1.63644
4.1,7936,1.64475
4.11,7958,1.63162
4.12,7995,1.64128
4.13,8053,1.64927
4.14,8084,1.65662
4.15,8113,1.66481
4.16,8165,1.67216
4.17,8199,1.66745
4.18,8214,1.67397
4.19,8233,1.68044
4.2,8260,1.68815
4.21,8282,1.69566
4.22,8312,1.70088
4.23,8365,1.70776
4.24,8413,1.71735
4.25,8464,1.71911
4.26,8516,1.72598
4.27,8563,1.72808
4.28,8586,1.73514
4.29,8606,1.74095
4.3,8622,1.7478
4.31,8657,1.75403
4.32,8673,1.73327
4.33,8694,1.73879
4.34,8728,1.7439
4.35,8753,1.74942
4.36,8777,1.75515
4.37,8811,1.73337
4.38,8849,1.738
4.39,8889,1.74424
4.4,8921,1.74827
4.41,8948,1.75209
4.42,8980,1.75612
4.43,8991,1.71607
4.44,9002,1.71999
4.45,9022,1.72333
4.46,9027,1.72862
4.47,9019,1.73235
4.48,9030,1.73608
4.49,9066,1.73902
4.5,9093,1.74275
4.51,9110,1.74726
4.52,9140,1.74883
4.53,9175,1.75157
4.54,9187,1.75432
4.55,9197,1.71426
4.56,9204,1.71713
4.57,9222,1.72153
4.58,9218,1.72459
4.59,9208,1.72918
4.6,9217,1.73148
4.61,9235,1.73435
4.62,9241,1.68713
4.63,9263,1.68806
4.64,9295,1.68167
4.65,9308,1.68334
4.66,9328,1.68611
4.67,9339,1.67084
4.68,9342,1.67175
4.69,9338,1.6734
4.7,9352,1.67432
4.71,9346,1.67578
4.72,9352,1.67762
4.73,9362,1.68
4.74,9365,1.68201
4.75,9365,1.6833
4.76,9380,1.68476
4.77,9379,1.68659
4.78,9389,1.68861
4.79,9397,1.68971
4.8,9408,1.69136
4.81,9418,1.64075
4.82,9428,1.6427
4.83,9429,1.6343
