round betrfs_time btrfs_time ext4_time f2fs_time xfs_time zfs_time
0 6.82356250001 5.50556250001 5.79812500001 6.2959375 4.46218750001 8.6235
1 6.81706249999 5.19493749999 5.75331249999 5.95699999999 4.64700000001 8.48218750001
2 6.88074999999 6.9413125 5.79075 6.4805 4.983375 8.54743750001
3 6.87893750001 6.81674999999 5.788125 6.58924999999 4.94643749999 8.0941875
4 6.8736875 6.99137500001 5.81725000001 6.32606249999 4.9645 8.69612499999
5 6.8141875 6.68099999999 5.82768750001 5.95249999999 5.02975000001 8.27850000001
6 6.845625 6.91481250001 5.98449999999 6.37299999999 5.14406250001 8.32231249999
7 6.90143749999 7.04381249999 6.08462500001 6.301625 4.911 8.09499999999
8 6.86556249999 7.05487499999 6.11662500001 6.38187500001 5.1615625 8.54062499999
9 6.89937499999 7.0836875 6.22775 6.3769375 5.742 8.313375
10 6.81312500001 7.223375 6.49618749999 6.22306250001 5.47150000001 8.5385625
11 6.83618749999 6.85481249999 6.257375 6.2508125 5.5545625 8.24025000001
12 6.845625 7.07818749999 6.1834375 6.42675000001 5.75825 8.145625
13 6.8120625 6.98399999999 6.30268749999 6.22406249999 6.08643749999 8.28481250001
14 6.8416875 7.16962500001 6.3365625 6.34600000001 6.0985 8.03631250001
15 6.83406250001 6.92768750001 6.35356249999 6.2403125 5.9540625 7.84756250001
16 6.81887499999 7.2065625 6.36962500001 6.2878125 5.98837499999 8.25125
17 6.807875 7.11768749999 6.16350000001 6.21806249999 6.81700000001 8.2405
18 6.87475000001 7.1601875 6.40337500001 6.23243749999 6.77718750001 7.91725000001
19 6.81731250001 7.0218125 6.315625 6.23225 6.70849999999 7.89868750001
20 6.84481250001 6.93999999999 6.5564375 6.28831249999 6.23481249999 8.08531250001
21 6.83700000001 6.62175000001 6.53287500001 5.833 6.2104375 7.99618750001
22 6.84643749999 6.959875 6.59162499999 6.2890625 6.97018749999 7.82787500001
23 6.78375 7.185375 6.5016875 6.19943750001 6.6275625 8.27562499999
24 6.91274999999 7.19243749999 6.386875 6.20756249999 6.6230625 8.71993750001
25 6.81625 7.16993750001 6.1724375 6.19550000001 6.91931250001 8.5956875
26 6.84431249999 7.15131250001 6.217 6.37449999999 7.1659375 8.42399999999
