round betrfs_time betrfs_layout btrfs_time btrfs_layout ext4_time ext4_layout f2fs_time f2fs_layout xfs_time xfs_layout zfs_time zfs_layout
0 13.656375 1.0 15.6551875 0.997035573123 17.6148125 0.989247311828 32.7006250001 0.98041136141 14.7 1.0 38.358 0.973663826491
1 13.693125 1.0 16.2120625 0.979249011858 16.327625 0.989247311828 49.203375 0.970617042116 23.15675 0.981188118812 34.8248125001 0.975213013168
2 13.683125 1.0 15.7566875 0.969367588933 23.386125 0.989247311828 34.2729375 0.960822722821 22.16375 0.981188118812 44.6391875 0.973663826491
3 12.7905 1.0 15.8075 0.959486166008 17.6554375 0.989247311828 28.5514375 0.951028403526 16.2065 0.981188118812 34.7880625 0.976762199845
4 13.55025 1.0 16.44325 0.949604743083 21.8591875 0.989247311828 37.3196250001 0.941234084231 23.1554375 0.981188118812 37.1188125 0.972114639814
5 15.189125 1.0 17.578625 0.938795656466 21.1495625 0.990224828935 32.0675625 0.931439764936 27.2493125 0.981188118812 44.4677499999 0.975987606507
6 13.6488125 1.0 17.352375 0.927936821323 24.800125 0.989247311828 32.606 0.921645445642 14.373125 0.981188118812 44.8763750001 0.975213013168
7 13.6055 1.0 17.047 0.918065153011 23.1021875 0.989247311828 25.912125 0.911851126347 14.0533125 0.981188118812 45.2033125 0.975213013168
8 15.4840625 1.0 16.835125 0.908284023669 16.5043125 0.989247311828 32.8720624999 0.902056807052 14.9961875 0.981188118812 39.5258124999 0.973663826491
9 13.6498125 1.0 19.1404375 0.89842209073 18.6785625 0.989247311828 26.0933125 0.892262487757 26.2211875001 0.981188118812 35.8547500001 0.97443841983
10 13.7335 1.0 19.21225 0.888560157791 21.3096875 0.990224828935 34.3906250001 0.882468168462 22.7191875 0.981188118812 43.0432500001 0.973663826491
11 15.8979375 1.0 17.97525 0.878698224852 12.1086875 0.989247311828 30.3248124999 0.872673849167 18.102625 0.981188118812 41.31075 0.97443841983
12 13.624125 1.0 21.89425 0.868965517241 15.614125 0.989247311828 36.2988125 0.862879529873 20.2215 0.981188118812 45.1582499999 0.975213013168
13 13.69625 1.0 19.7198125 0.859113300493 20.7765 0.989247311828 36.2348750001 0.853085210578 29.0343125 0.981188118812 37.8735000001 0.975213013168
14 13.6388125 1.0 21.951125 0.849261083744 18.517625 0.989247311828 32.1016250001 0.843290891283 26.3093124999 0.981188118812 40.925125 0.976762199845
15 13.624625 1.0 24.136125 0.839408866995 18.0480625 0.990224828935 35.0560000001 0.833496571988 27.2551250001 0.981188118812 40.2783749999 0.97443841983
16 13.6581875 1.0 27.8302500001 0.829556650246 11.745375 0.989247311828 33.0309374999 0.823702252693 24.616125 0.981188118812 44.4370625 0.975213013168
17 13.6574375 1.0 24.1904375 0.819881889764 21.114625 0.990224828935 32.87475 0.813907933399 33.627 0.981188118812 40.0225625 0.971340046476
18 13.5434375 1.0 26.5250624999 0.810039370079 17.309625 0.989247311828 28.3210000001 0.804113614104 24.9288125 0.981188118812 41.0129374999 0.975213013168
19 15.2735625 1.0 24.378625 0.800196850394 13.839125 0.989247311828 34.8346875 0.794319294809 29.306375 0.981188118812 42.1052499999 0.97443841983
20 13.644625 1.0 32.3485625001 0.790354330709 13.590625 0.989247311828 28.9048125 0.784524975514 24.8974375 0.981188118812 41.9299375 0.975987606507
21 13.607375 1.0 29.3810625 0.780511811024 17.96475 0.989247311828 30.8994375001 0.774730656219 25.736 0.981188118812 40.0241250001 0.975213013168
22 13.6631875 1.0 29.597875 0.770669291339 17.6478125 0.989247311828 44.0080000001 0.764936336925 28.0420624999 0.981188118812 41.6395 0.976762199845
23 13.7083125 1.0 34.3883124999 0.761061946903 14.15025 0.989247311828 44.3699374999 0.75514201763 23.0395625 0.981188118812 42.1386250001 0.973663826491
24 13.626 1.0 35.9281250001 0.751229105211 19.316125 0.989247311828 50.4608750001 0.745347698335 27.6847500001 0.981188118812 39.6922500001 0.975987606507
25 13.7161875 1.0 34.4239374999 0.74139626352 20.941625 0.989247311828 48.84475 0.73555337904 29.4757499999 0.981188118812 42.7127499999 0.973663826491
26 13.70725 1.0 41.1768125 0.732546705998 16.6508125 0.990224828935 50.3793749999 0.725759059745 27.6145000001 0.981188118812 44.5020624999 0.975213013168
27 13.645125 1.0 40.0545625001 0.722986247544 19.381375 0.989247311828 46.0228125 0.715964740451 25.339625 0.981188118812 43.0823125001 0.975987606507
28 13.5790625 1.0 39.0723124999 0.713163064833 21.1658125 0.989247311828 50.2097500001 0.706170421156 23.145 0.981188118812 39.1540625 0.975213013168
29 13.6220625 1.0 44.7427500001 0.703339882122 14.784625 0.989247311828 54.923125 0.696376101861 25.1404375 0.981188118812 39.055 0.975213013168
30 13.7258125 1.0 43.1345 0.693817468106 19.3839375 0.989247311828 54.1951250001 0.686581782566 31.8864375001 0.981188118812 40.4776875 0.97443841983
31 13.661375 1.0 40.9681249999 0.684003925417 17.801125 0.989247311828 55.3968125 0.676787463271 28.1710625001 0.981188118812 39.581125 0.97443841983
32 13.645375 1.0 45.3354375 0.674190382728 24.529875 0.989247311828 60.9558125001 0.666993143976 35.7456875 0.981188118812 39.4618124999 0.97443841983
33 13.6566875 1.0 41.0939375 0.664376840039 18.6095625 0.989247311828 50.5541875 0.657198824682 32.5383749999 0.981188118812 37.0364375001 0.972889233153
34 13.6438125 1.0 45.6814375 0.65456329735 23.5229375 0.989247311828 47.7448125001 0.647404505387 30.3876875 0.981188118812 43.1688750001 0.969790859799
35 12.134125 1.0 47.5015 0.644749754661 19.7410625 0.989247311828 53.5381875001 0.637610186092 32.1655625 0.981188118812 49.1845 0.96901626646
36 13.6899375 1.0 47.5101875001 0.634936211973 17.8879375 0.989247311828 56.2293749999 0.627815866797 32.544375 0.981188118812 48.9121249999 0.968241673122
37 13.68025 1.0 49.6967499999 0.625857002938 21.227375 0.979472140762 50.314125 0.618021547502 30.3706874999 0.981188118812 43.2296249999 0.968217054264
38 13.6648125 1.0 56.2440624999 0.616062683643 17.7054375 0.980449657869 52.776375 0.608227228208 18.4675 0.981188118812 45.7590624999 0.967467079783
39 13.6946875 1.0 49.7009374999 0.605882352941 13.5685625 0.979472140762 52.5042500001 0.598432908913 20.055875 0.981188118812 49.9711874999 0.967467079783
40 13.6873125 1.0 59.1808750001 0.596078431373 19.2 0.979472140762 57.590375 0.588638589618 22.113125 0.981188118812 48.4166875 0.968241673122
41 13.6141875 1.0 64.9558750001 0.586274509804 19.34025 0.979472140762 52.8875624999 0.578844270323 20.5486875 0.981188118812 50.6315625 0.968241673122
42 13.2343125 1.0 69.3273749999 0.576470588235 22.5464375 0.979472140762 61.1380000001 0.569049951028 17.74375 0.981188118812 51.7703124999 0.967467079783
43 13.667625 1.0 69.3923750001 0.566666666667 18.4646875 0.979472140762 52.596875 0.559255631734 22.35825 0.981188118812 49.9340000001 0.967467079783
44 12.5635 1.0 60.6018749999 0.557296767875 20.456125 0.979472140762 50.519625 0.549461312439 18.0040625 0.981188118812 51.5691875001 0.967467079783
45 13.6634375 1.0 62.7897499999 0.547945205479 24.1764375 0.979472140762 59.249 0.539666993144 19.0536875 0.981188118812 52.4746875001 0.966692486445
