round betrfs_time betrfs_layout btrfs_time btrfs_layout ext4_time ext4_layout f2fs_time f2fs_layout xfs_time xfs_layout zfs_time zfs_layout
0 17.3249753168 0.992252252252 13.4159330262 0.911050782498 31.0007610663 0.102508516569 31.3590587461 0.00330851943755 22.0367883002 0.807570977918 46.5399868354 -0.0213893967093
1 17.1335259997 0.992816091954 24.2134071088 0.844678811122 30.956331249 0.110233782319 48.5088859636 0.00329055610398 23.1688744446 0.798771376391 46.6330734736 -0.0283363802559
2 17.1394396906 0.992621918301 28.9799962975 0.798086124402 30.9118602929 0.0981728089192 52.2936893203 0.00329055610398 25.0702340793 0.782998505728 47.6692755473 -0.0380255941499
3 17.0740394109 0.992252252252 32.7318475399 0.758615188258 30.7215320059 0.104505341384 54.4238008062 0.00329055610398 26.4299613296 0.768719907023 46.1318701663 -0.0405850091408
4 16.8668133948 0.993151919265 35.176639378 0.718814720408 30.8174263617 0.0990865459049 56.2016517196 0.00329055610398 26.6942981734 0.751618794621 46.7491155174 -0.0405850091408
5 17.0844372223 0.992432432432 37.3126234161 0.688048508058 30.8285646701 0.0961449140734 56.8812839393 0.00329055610398 28.004370989 0.726382201561 47.1050374363 -0.0400365630713
6 17.1253805331 0.993514682039 38.1582298009 0.660606060606 30.8106898963 0.103111936832 58.3946540233 0.00329055610398 29.0457873951 0.707952847418 46.5383412867 -0.0422303473492
7 17.1245577588 0.993155619597 39.8081392957 0.629281503903 30.8435288794 0.098776900449 59.3538958369 0.00329055610398 29.3959293237 0.698423236515 45.7646762383 -0.045155393053
8 17.182583923 0.99369482976 40.090906286 0.597897084595 30.8222087378 0.0938225731537 59.5335177719 0.00329055610398 29.4885120125 0.677403287398 46.7977723383 -0.0499085923218
9 17.1969824749 0.992794091155 40.400804262 0.569360483614 30.8993849761 0.0953560371517 59.5047103834 0.00329055610398 31.0679714497 0.654159056948 47.5199317098 -0.0442413162706
10 17.3081907191 0.99333573487 40.6969824749 0.546539379475 30.8429220833 0.091964700418 59.594125391 0.00329055610398 31.1597622182 0.641706790636 46.7442405794 -0.0473491773309
11 17.3226406944 0.991891891892 40.7515941254 0.524856596558 30.6714147606 0.0913312693498 59.5218755143 0.00329055610398 31.1183046734 0.630084675411 47.8285338159 -0.0522851919561
12 17.5774539246 0.991716189447 41.2632055291 0.506041335453 30.8165213099 0.0910357640502 59.612504114 0.00329055610398 31.2583717295 0.609662958658 46.3113172619 -0.0497257769653
13 17.4004545829 0.993156852152 41.0349576271 0.478136428685 30.9134852723 0.0936677504258 59.756623334 0.00329055610398 32.1080508475 0.596313517104 46.9845215567 -0.0524680073126
14 17.1481508145 0.993515850144 40.9756458779 0.454213036566 30.7488789699 0.0877844867627 59.60137609 0.00329055610398 32.4337666612 0.574203187251 47.5047515223 -0.0559414990859
15 17.2896371565 0.993514682039 41.0147276617 0.435591603053 30.8315780813 0.0877844867627 59.1804858481 0.00320855614973 32.7078636663 0.561918990704 46.5160029621 -0.0601462522852
16 17.2591842192 0.993515850144 41.5143368438 0.417421713559 30.8381397071 0.0907261185942 58.853505019 0.00320855614973 32.5101201251 0.540594388179 47.198391476 -0.0579524680073
17 17.0158075531 0.99333693499 40.3962790028 0.400889453621 30.767350255 0.0905572755418 58.7074934178 0.00337254256807 32.6274991772 0.538435995351 47.174705858 -0.0595978062157
18 17.239910729 0.993515850144 40.8878249959 0.380248091603 30.7036263781 0.0879256965944 58.3033774888 0.00337254256807 32.7924551588 0.523738379814 46.9874526903 -0.0605118829982
19 17.136117739 0.992613943434 40.8284206845 0.362611181703 30.8348074708 0.0885586004025 58.133330591 0.00337254256807 33.1146124733 0.505395982069 46.1114242223 -0.0614259597806
20 17.2746729472 0.992435158501 41.2418031101 0.342080152672 30.736280237 0.0814367549156 57.9518059896 0.00337254256807 32.6160728978 0.493605713337 46.320151802 -0.0614259597806
21 17.4020178542 0.992072072072 40.905977456 0.3355587347 30.893831249 0.0826753367394 57.6105911636 0.00337254256807 33.3342109593 0.476261620186 47.3317220668 -0.0632541133455
22 17.431298338 0.9924365208 40.6546198782 0.318868224448 30.8699296528 0.0829849821954 57.5409330262 0.00337254256807 33.1890221326 0.455843293493 47.036181504 -0.0687385740402
23 17.2867060227 0.992615273775 40.5935803028 0.304119611898 30.8216533651 0.0797337049079 57.392319401 0.00337254256807 33.0438127366 0.449925261584 47.5474020897 -0.0672760511883
24 17.3828574955 0.992796686476 40.4550250946 0.285191665341 30.7997469969 0.0794240594519 57.3232577751 0.00337254256807 33.280689485 0.434926958831 46.4410687839 -0.0725776965265
25 16.9988584005 0.99333573487 40.2064238111 0.276947535771 30.8459457792 0.0831398049234 57.4023263947 0.00329055610398 33.2343981405 0.438838174274 47.113018348 -0.0725776965265
26 17.4683951785 0.991531531532 40.4644252921 0.260454762283 30.7705385058 0.078649945812 57.1560185948 0.00329055610398 33.3416364983 0.415933609959 46.5507240414 -0.0683729433272
27 16.9692590917 0.993156852152 40.496914596 0.252143537631 30.8473239263 0.0784829721362 57.2418133946 0.00329055610398 33.0780710054 0.397144280259 47.1236732761 -0.0711151736746
28 17.2890714991 0.992253647991 40.1166591246 0.239427662957 30.589620701 0.0766372503484 56.871276946 0.00329055610398 32.8073473754 0.387385892116 47.1644314628 -0.0742230347349
29 17.1712296363 0.992615273775 40.079819401 0.227562062381 30.7498765839 0.0808174640037 56.8877118646 0.00329055610398 33.1347498766 0.370579445459 46.2743026987 -0.0760511882998
