Threads  Mean  Alignment  YShift
12        69   150        0
14        69   150        0
16        72   150        0
18        78   150        0
20        76   150        0
22        82   150        0
24        80   150        0
26        79   150        0
28        83   150        0
30        82   150        0
32        84   150        0
