pulls 1024mb_time 1024mb_layout 1280mb_time 1280mb_layout 1536mb_time 1536mb_layout 2048mb_time 2048mb_layout 768mb_time 768mb_layout cold_time cold_layout cold_clean_time cold_clean_layout betrfs_time betrfs_layout
0 0.598022009377 1 0.569283818534 1 0.567478066254 1 0.567062940911 1 6.23553335444 0.999858173272 17.8825255435 0.916754310482 15.9540964191 0.956478859349 10.8938989466 0.991414955498
100 0.503596702896 1 0.502022670127 1 0.501157501284 1 0.502423148676 1 7.00543603158 0.989389784464 28.2419067848 0.94043366635 16.3418439249 0.95494427318 12.1786185011 0.990807790232
200 0.504734861067 1 0.502832943536 1 0.504581212708 1 0.505804585862 1 10.0397492459 0.968678803364 46.6459493311 0.926299077069 16.9555881493 0.954138533258 11.9890020996 0.99074341915
300 0.509439065508 1 0.507034691451 1 0.50996063221 1 0.508507350378 1 9.23148115254 0.986590519703 60.6897138327 0.914967083165 20.2582271899 0.952377124945 12.4092272093 0.991578947368
400 0.523137224514 1 0.511363420713 1 0.509363692719 1 0.50937713494 1 15.2999441752 0.964974222151 73.0931609144 0.905046822787 17.7931677146 0.953109582012 12.0516892918 0.99175930043
500 0.523099074766 1 0.513759003973 1 0.515110376303 1 0.513648782911 1 13.9118999938 0.979832968528 86.7993037444 0.894821879968 16.8124782663 0.951045948899 12.1874627422 0.99195352215
600 0.51916670734 1 0.527489414535 1 0.514893626759 1 0.517036649503 1 20.7995427201 0.963856931076 95.1279636251 0.890658776481 17.2532091956 0.948276083302 12.1028559401 0.992294617564
700 0.526866268481 1 0.520352825237 1 0.519523106325 1 0.519608474517 1 25.0657814335 0.956135619341 110.036434245 0.878558138946 17.6218638422 0.946742703791 11.95113345 0.9919403809
800 0.545473586801 1 0.526825540932 1 0.530704468757 1 0.526394224593 1 32.5937780976 0.947175378563 132.091707633 0.833486296601 17.4857388281 0.947281060325 11.8249534383 0.992346938776
900 0.535571644683 1 0.534192815476 1 0.528088720676 1 0.52776997834 1 39.724278568 0.935221783048 145.759388215 0.852346288199 17.7735783376 0.94403892944 12.2990591013 0.992104781574
1000 0.537546149788 1 0.533896248542 1 0.530641916915 1 0.530341732876 1 41.4669110222 0.925306825124 157.409220279 0.846424779866 18.0824755645 0.943249729989 11.3490151439 0.992028948833
1100 0.554134238029 1 0.535647847033 1 0.532318629289 1 0.532452294074 1 77.5375549816 0.894640956727 168.179801873 0.83929035371 17.3143320344 0.945256984759 11.8947520725 0.992654774397
1200 0.621089937537 0.75 0.537341808186 1 0.533546966837 1 0.539118924458 1 56.8524735941 0.914638589333 183.938158116 0.828238396378 17.592914308 0.945084983354 11.6963089932 0.99228211538
1300 0.648069345838 0.830188679245 0.54974391569 1 0.539453730761 1 0.536323225342 1 68.4498875181 0.89966923925 190.813572732 0.821993517939 17.8315223698 0.943202396273 11.9129128733 0.992624819692
1400 0.617823131555 1.0 0.541676863239 1 0.546216507512 1 0.538990825688 1 88.0669290007 0.880492118897 202.638676858 0.816414394716 22.3034994637 0.940155028264 11.5899754241 0.993034252105
1500 3.26012165986 0.741203178207 0.547466188504 0.5 0.545702556241 1 0.541537000389 1 82.5440427426 0.890981119353 213.850350163 0.811122618292 25.895440703 0.938323386692 11.6939059841 0.992966562721
1600 2.61082823613 0.839073262367 0.547229781389 1 0.558118127585 1 0.544146311404 1 96.0660827105 0.866158667732 221.729233735 0.805133600754 22.4806497168 0.938020839052 11.9252906158 0.992481868035
1700 0.549926677848 1 0.543827664411 1 0.550285224408 1 0.545753146277 1 95.0076392749 0.887504753213 226.557360006 0.799567173529 22.0599616392 0.937658245042 11.7660595361 0.992385953397
1800 21.2827230691 0.887150751031 0.553410733293 1 0.559751003408 1 0.545225998768 1 111.928936851 0.852050653217 234.146851593 0.796240826719 26.076284045 0.937382786964 11.8508156659 0.992061307873
1900 83.5379383982 0.829449177967 0.560591777448 1 0.551264092229 1 0.548540636603 1 103.176860487 0.870261603911 241.24849218 0.791463879132 21.1996268926 0.939582803358 11.9718624348 0.991852896057
2000 44.0387229613 0.905256905257 0.553079590098 1 0.552575495812 1 0.548307852512 1 116.345403394 0.859076331888 249.956260946 0.786258025388 21.6411700667 0.936783416127 13.2290445875 0.991218663375
2100 46.0433624188 0.9005197728 0.550851037585 1 0.558638153669 1 0.552713009599 1 131.736771853 0.845950281773 253.430418688 0.782584455274 21.856453595 0.936655422884 13.5420939505 0.990500316656
2200 55.6883544484 0.871212489665 0.552558058822 1 0.550765843209 1 0.54941378058 1 118.860780645 0.85896455647 257.412193502 0.778959653559 21.5808266831 0.936315530396 13.5661528101 0.990204321048
2300 94.2205158046 0.833993357179 0.558551137653 1.0 0.552753303965 1 0.552048798764 1 118.900677256 0.845477723156 261.340355489 0.775711648102 21.9548594396 0.935337688861 14.2494782915 0.989676466131
2400 72.6375036953 0.856788932494 0.565887397315 1 0.554930146829 1 0.553459288524 1 117.371595806 0.866342831389 266.63325685 0.772276234336 22.8164618551 0.93348135348 15.4056495068 0.98939802675
2500 115.866585339 0.827871582243 0.559239216099 1 0.555589852711 1 0.552812330337 1 130.146264602 0.865971503809 278.083139043 0.767889592849 23.0444660808 0.930854674787 15.0583383685 0.989358637329
2600 83.863503143 0.87214366183 0.559044969217 1 0.556975179749 1 0.556108193052 1 137.186457033 0.858700648067 281.407140398 0.764112297963 22.4505892926 0.933510483542 15.6974474749 0.988864340947
2700 78.2894961205 0.880242268514 0.571028465902 1 0.562143964942 1 0.561864524962 1 136.607105276 0.852236072547 289.783598301 0.757625941048 24.0017949661 0.929577062025 15.4842826897 0.988937858861
2800 95.8241873036 0.859380420454 0.567151085667 1 0.569689077825 1 0.563605772818 1 145.931620336 0.840577021198 296.703555986 0.752445799585 23.6329912036 0.929031230381 16.4272656425 0.988799367817
2900 73.5547041473 0.880446569839 0.562445911744 1 0.562854635262 1 0.56312048414 1 139.937494387 0.837104347615 302.658372964 0.747636632201 23.7295184104 0.929614947468 16.0360324734 0.98919794761
3000 93.34684807 0.848414881771 0.572025289466 1 0.563229697218 1 0.574358208415 1 140.796605575 0.841486299055 309.065154267 0.742162058617 22.156041551 0.928313643798 15.8534445128 0.9891470524
3100 85.2944305499 0.863831156732 0.575637232771 1 0.563914367638 1 0.567809447996 1 148.624302965 0.837438752042 312.619702433 0.738269517832 23.3416566665 0.925898237302 15.9428233095 0.988943284377
