pulls_performed filesystem_size aged_time aged_layout_score
0 364548 0.135192871094 1 
100 373440 0.13166308403 1 
200 381660 0.134196043015 1 
300 394608 0.138866901398 1 
400 404636 0.14275598526 1 
500 414760 0.146379947662 1 
600 424108 0.149327993393 1 
700 434560 0.152472019196 1 
800 449208 0.157966136932 1 
900 460276 0.161627054214 1 
1000 472212 0.165518045425 1 
1100 483404 0.169746875763 1 
1200 493592 0.172727108002 1 
1300 508924 0.178245782852 1 
1400 517764 0.18113899231 1 
1500 527896 0.188626050949 1 
1600 539772 0.188741922379 1 
1700 549068 0.192646026611 1 
1800 559140 0.195919036865 1 
1900 569420 0.199732065201 1 
2000 580488 0.203851938248 1 
2100 591376 0.206260919571 1 
2200 600464 0.210233926773 1 
2300 609148 0.214136838913 1 
2400 618972 0.21692109108 1 
2500 634128 0.220468044281 1 
2600 646724 0.226534128189 1 
2700 660720 0.230542898178 1 
2800 675224 0.242685079575 1 
2900 687680 0.239754915237 1 
3000 700100 0.245353937149 1 
3100 712564 0.248016119003 1 
3200 725900 0.252249956131 1.0 
3300 739212 0.259132146835 1 
3400 755392 0.263869047165 1 
3500 768560 0.269020080566 1 
3600 781592 0.273324012756 1 
3700 794060 0.278170108795 1 
3800 809292 0.28116106987 1 
3900 822684 0.293982028961 1 
4000 834896 0.293696165085 1 
4100 845236 0.297158956528 1 
4200 859008 0.303532838821 1 
4300 870360 0.304801940918 1 
4400 880264 0.308647155762 1 
4500 890940 0.309664964676 1 
4600 902092 0.314950942993 1 
4700 913012 0.320634126663 1 
4800 926488 0.325623989105 1 
4900 940284 0.328423976898 1 
5000 951296 0.335092067719 1 
5100 964920 0.335680007935 1 
5200 974380 0.341262102127 1 
5300 984872 0.343500137329 1 
5400 999104 0.351707220078 1 
5500 1011632 0.357703924179 1 
5600 1021060 0.352959871292 1 
5700 1031264 0.357745170593 1 
5800 1044276 0.363868951797 1 
5900 1054820 0.372214078903 1 
6000 1066684 0.374619960785 1 
6100 1077308 0.376749992371 1 
6200 1090536 0.3842689991 1 
6300 1101216 0.380661964417 1 
6400 1112992 0.394200086594 1 
6500 1125360 0.391209125519 1 
6600 1138764 0.399985074997 1 
6700 1152592 0.40495800972 1 
6800 1174660 0.422351121902 1 
6900 1190824 0.636351108551 0.61 
7000 1203180 0.416656970978 1 
7100 1213800 0.423640966415 1 
7200 1224840 0.439488887787 1 
7300 1235720 0.430667161942 1 
7400 1246792 0.437633037567 1 
7500 1261388 0.456979990005 1 
7600 1278128 0.453952074051 1 
7700 1288784 0.462063074112 1 
7800 1302960 115.676032066 0.58821885542 
7900 1318084 1.08763194084 0.51867219917 
8000 1331212 0.461227178574 1 
8100 1344816 146.943863153 0.554718054469 
8200 1357308 145.750240088 0.560519544605 
8300 1370948 70.4019699097 0.519941557416 
8400 1382048 75.4130787849 0.635713186644 
8500 1397576 77.6857118607 0.62307333022 
8600 1408800 83.1521100998 0.654141664637 
8700 1420312 167.177276134 0.580782736022 
8800 1434668 175.314615011 0.623749053906 
8900 1444584 210.151730061 0.623137160893 
9000 1454860 304.609590054 0.579889384534 
9100 1466012 302.544060946 0.570914501508 
9200 1477000 303.401370049 0.575250782441 
9300 1488768 304.038419962 0.575375058884 
9400 1500056 354.069859028 0.555576300275 
9500 1511304 354.072883844 0.555549155837 
9600 1522656 357.989668131 0.556357673715 
9700 1536676 369.246917009 0.552685352433 
9800 1548612 373.224862099 0.552547353319 
9900 1560752 381.259257793 0.560750551256 
10000 1572672 381.248012066 0.529500890607 
