pulls_performed filesystem_size aged_time aged_layout_score
0 364548 0.135073900223 1 
100 373440 0.131136894226 1 
200 381660 0.134384155273 1 
300 394608 0.138531923294 1 
400 404636 0.142031908035 1 
500 414760 0.145922899246 1 
600 424108 0.149080038071 1 
700 434560 0.153070926666 1 
800 449204 0.157464981079 1 
900 460272 0.162085771561 1 
1000 472204 0.166114091873 1 
1100 483396 0.169776201248 1 
1200 493604 0.17250585556 1 
1300 508920 0.17853808403 1 
1400 517752 0.181411981583 1 
1500 527896 0.185924053192 1 
1600 539776 0.188433885574 1 
1700 549076 0.191524028778 1 
1800 559156 0.195281028748 1 
1900 569416 0.198642015457 1 
2000 580504 0.203258991241 1 
2100 591436 0.206074953079 1 
2200 600448 0.209269046783 1 
2300 609084 0.212291955948 1 
2400 619004 0.219579935074 1 
2500 634108 0.221997976303 1 
2600 646712 0.225422859192 1 
2700 660708 0.23050904274 1 
2800 675224 0.235468864441 1 
2900 687680 0.239198923111 1 
3000 700100 0.243993997574 1 
3100 712564 0.247134208679 1 
3200 725900 0.252794981003 1 
3300 739204 0.257844924927 1 
3400 755400 0.263288021088 1 
3500 768564 0.267241001129 1 
3600 781576 0.272158145905 1 
3700 794040 0.275768995285 1 
3800 809324 0.287044048309 1 
3900 822704 0.285953044891 1 
4000 834904 0.293570041656 1 
4100 845252 0.294678926468 1 
4200 859008 0.299415111542 1 
4300 870368 0.304683923721 1 
4400 880272 0.30730009079 1 
4500 890940 0.309941053391 1 
4600 902068 0.314615011215 1 
4700 913008 0.319245100021 1 
4800 926484 0.321892023087 1 
4900 940272 0.330950975418 1 
5000 951252 0.333976984024 1 
5100 964868 0.343453884125 1 
5200 974344 0.339541912079 1 
5300 984884 0.342668056488 1 
5400 999196 0.349103927612 1 
5500 1011676 0.352005004883 1 
5600 1021060 0.355590105057 1 
5700 1031216 0.356935977936 1 
5800 1044236 0.363743066788 1 
5900 1054828 0.36659693718 1 
6000 1066756 0.369221925735 1 
6100 1077344 0.373456954956 1 
6200 1090584 0.378197908401 1 
6300 1101220 0.381985902786 1 
6400 1113020 0.384727954865 1 
6500 1125376 0.390161991119 1 
6600 1138740 0.395807027817 1 
6700 1152560 0.403524875641 1 
6800 1174620 0.407840967178 1 
6900 1190816 0.416359186172 1 
7000 1203168 0.425560951233 1 
7100 1213796 0.423751831055 1 
7200 1224852 0.424013137817 1 
7300 1235728 0.429491996765 1 
7400 1246800 0.435614109039 1 
7500 1261396 0.438071012497 1 
7600 1278128 0.447580814362 1 
7700 1288784 0.448960781097 1 
7800 1302960 0.450888872147 1 
7900 1318064 0.458077192307 1 
8000 1331212 0.462357997894 1 
8100 1344816 0.468514919281 1 
8200 1357296 0.471018075943 1 
8300 1370952 0.479224205017 1 
8400 1382056 0.483959197998 1 
8500 1397596 0.489107847214 1 
8600 1408788 0.495063066483 1 
8700 1420328 0.493257045746 1 
8800 1434688 0.499664068222 1 
8900 1444592 0.511423110962 1 
9000 1454868 0.504009962082 1 
9100 1466020 0.508635044098 1 
9200 1477020 0.514709949493 1 
9300 1488800 0.514595031738 1 
9400 1500160 0.521034955978 1 
9500 1511340 0.557777166367 1 
9600 1522724 0.52680182457 1 
9700 1536688 0.534795045853 1 
9800 1548596 0.536983966827 1 
9900 1560780 0.544845104218 1 
10000 1572688 0.54652094841 1 
