pulls 1024mb_time 1024mb_layout 1280mb_time 1280mb_layout 1536mb_time 1536mb_layout 2048mb_time 2048mb_layout 768mb_time 768mb_layout cold_time cold_layout cold_clean_time cold_clean_layout betrfs_time betrfs_layout
0 0.592889238026 1.0 0.486959219737 1 0.487355436682 1 0.486926559772 1 9.52912323463 0.977589779006 50.7254929935 0.595873280534 60.226620622 0.595572999463 10.8938989466 0.991414955498
100 0.467822309191 1 0.465795414604 1 0.466578628977 1 0.464713953551 1 11.5432271812 0.978928995573 68.4195840769 0.584582601619 59.4551835781 0.584479381829 12.1786185011 0.990807790232
200 0.468331827303 1 0.471785178 1 0.467472227022 1 0.468127516509 1 10.5477173668 0.976135009692 120.25615424 0.577101188106 59.8606259884 0.577114792552 11.9890020996 0.99074341915
300 0.516130620973 1 0.470867350894 1 0.470257779903 1 0.469123412693 1 11.5358298562 0.973988764045 198.910340585 0.568974951362 61.7089778907 0.569088975541 12.4092272093 0.991578947368
400 0.48083534703 1 0.471685148403 1 0.47345240505 1 0.471050991877 1 17.3242485008 0.958748195581 271.926098625 0.562228875779 63.8237463943 0.56241789718 12.0516892918 0.99175930043
500 0.477459016394 1 0.474518753104 1 0.476560171385 1 0.475072187034 1 23.7640081657 0.947848929057 340.635575012 0.55251894268 64.2062375808 0.55278042764 12.1874627422 0.99195352215
600 0.49858911314 1 0.489901863285 1 0.477662991751 1 0.476869844544 1 26.5678560316 0.94540031283 384.669824257 0.545208578836 63.4202826044 0.545552205051 12.1028559401 0.992294617564
700 0.48680462366 1 0.481879478087 1 0.478896084447 1 0.480777180033 1 30.8949125051 0.938666804572 444.152741667 0.535747472238 64.4148197683 0.53616950836 11.95113345 0.9919403809
800 0.491473656863 1 0.482709396419 1 0.48353991756 1 0.482005861815 1 35.8182881048 0.929967224732 526.327084476 0.524443099597 66.1433334989 0.524953739947 11.8249534383 0.992346938776
900 0.488855478643 1 0.489336099111 1 0.485572074445 1 0.486950187379 1 38.6487352018 0.926154807575 574.063523556 0.5160856046 71.2032157879 0.51674350359 12.2990591013 0.992104781574
1000 0.550328519166 1.0 0.488286510235 1 0.486910432937 1 0.488663844375 1 49.8424608919 0.913020383773 627.620636812 0.509850402567 67.138410792 0.51069717845 11.3490151439 0.992028948833
1100 0.49129732009 1 0.493921008245 1 0.490542871947 1 0.490627618176 1 49.8778868837 0.909989488318 678.537858828 0.502493445917 68.6758966565 0.503447363635 11.8947520725 0.992654774397
1200 0.51096701694 1 0.496221425164 1 0.491024952828 1 0.490395981087 1 73.5658888564 0.897991509852 712.380217484 0.496286998421 68.9111150422 0.49747027062 11.6963089932 0.99228211538
1300 0.537304969777 1.0 0.495734785269 1 0.49292735223 1 0.493735692509 1 68.5900429094 0.891897790874 751.886784231 0.492133437016 71.17398041 0.493431849054 11.9129128733 0.992624819692
1400 1.63030243468 0.568783068783 0.495701168396 1 0.494480833916 1 0.495226051506 1 78.6573541586 0.883647470759 780.512369962 0.485975896917 70.2688719033 0.487238853774 11.5899754241 0.993034252105
1500 0.510934263683 1 0.496381734102 1 0.507015436909 1 0.499752630068 1 82.3644989542 0.880080273525 826.029605568 0.480104493999 70.2165255931 0.481436065127 11.6939059841 0.992966562721
