pulls_performed filesystem_size aged_time aged_layout_score
0 290876 0.15836596489 1 
100 295896 0.14244890213 1 
200 301012 0.145143985748 1 
300 309644 0.150816917419 1 
400 316168 0.154690980911 1 
500 322080 0.158847808838 1 
600 327808 0.162420034409 1 
700 333848 0.166950941086 1 
800 342556 0.17306303978 1 
900 349028 0.177608966827 1 
1000 356448 0.182847976685 1 
1100 362848 0.186954021454 1 
1200 368856 0.190370082855 1 
1300 379172 0.196260929108 1 
1400 384116 0.208999872208 1 
1500 390104 0.203438043594 1 
1600 397612 0.20827293396 1 
1700 403048 0.211676836014 1 
1800 409628 0.21604681015 1 
1900 415816 0.220782995224 1 
2000 422548 0.224264144897 1 
2100 429636 0.228341817856 1 
2200 435020 0.230926036835 1 
2300 440292 0.234575033188 1 
2400 446492 0.239711999893 1 
2500 456776 0.245972156525 1 
2600 464532 0.249648094177 1 
2700 473284 0.254577875137 1 
2800 482468 0.259983062744 1 
2900 489944 0.268365859985 1 
3000 497128 0.271087884903 1 
3100 505000 0.274595022202 1 
3200 512876 0.282238006592 1 
3300 521088 0.287734985352 1 
3400 530924 0.293388843536 1 
3500 539332 0.299032926559 1 
3600 547212 0.316755056381 1 
3700 554668 0.307266950607 1 
3800 565344 0.314744949341 1 
3900 573892 0.321321964264 1 
4000 581532 0.322875022888 1 
4100 587892 0.332015037537 1 
4200 596496 0.334291934967 1 
4300 603160 0.339071989059 1 
4400 609044 0.341848134995 1 
4500 615508 0.345124959946 1 
4600 621864 0.351989030838 1 
4700 628096 0.353407859802 1 
4800 636368 0.995022058487 1 
4900 644648 0.36856508255 1 
5000 651280 0.367486953735 1 
5100 660276 0.388612031937 1 
5200 666000 0.377429962158 1 
5300 672252 0.379984855652 1 
5400 680832 0.392083883286 1 
5500 688264 0.391230106354 1 
5600 693700 0.399199008942 1 
5700 699512 0.399188995361 1 
5800 708048 0.405302047729 1 
5900 714452 0.417005062103 1 
6000 721908 0.412138938904 1 
6100 728316 0.415719032288 1 
6200 737120 0.435091018677 1 
6300 743672 0.43304681778 1 
6400 750980 0.429877996445 1 
6500 758832 0.438544988632 1 
6600 766884 0.466360092163 1 
6700 775360 0.446264028549 1 
6800 790192 0.461745023727 1 
6900 800736 1.56313681602 1 
7000 808340 0.4688539505 1 
7100 815228 0.51889705658 1 
7200 822140 6.80060815811 0.776281072073 
7300 828764 0.494354963303 1 
7400 835360 2.68744182587 0.536866359447 
7500 844372 0.492760896683 1 
7600 854984 0.51092505455 1 
7700 861560 9.33576798439 0.671921689851 
7800 870528 65.7083940506 0.621158374817 
7900 879724 132.62766695 0.539645334204 
8000 887708 156.464483976 0.535449430534 
8100 897168 182.435674906 0.532098346496 
8200 904708 189.004976034 0.564343476838 
8300 912840 191.050740957 0.564154619809 
8400 919348 191.110637903 0.561038870001 
8500 929128 194.125645161 0.556467374667 
8600 936468 193.190366983 0.556603442836 
8700 943528 194.718050003 0.555580143959 
8800 952540 197.146428823 0.547912069759 
8900 958124 198.035204172 0.549143351331 
9000 964344 208.257990122 0.544274001888 
9100 971356 209.097357035 0.538985538825 
9200 977860 298.149123907 0.540264946836 
9300 984936 297.654803038 0.51982478599 
9400 992008 308.88619709 0.517847995902 
9500 998520 333.280894041 0.509263156284 
9600 1005260 359.588337898 0.523846922256 
9700 1013812 420.67511487 0.513751955696 
9800 1020892 407.165962934 0.518483923344 
9900 1028000 407.365560055 0.518065693431 
10000 1035296 432.630480051 0.511470044547 
