insertions,flushes,max_alpha
2.7,6953,1.60817
2.71,6988,1.61462
2.72,7011,1.59805
2.73,7032,1.60473
2.74,7062,1.6095
2.75,7088,1.61523
2.76,7081,1.62382
2.77,7105,1.59198
2.78,7166,1.60006
2.79,7181,1.6072
2.8,7215,1.61124
2.81,7304,1.61528
2.82,7359,1.62119
2.83,7337,1.62616
2.84,7367,1.62989
2.85,7429,1.61704
2.86,7389,1.62042
2.87,7374,1.60662
2.88,7442,1.61178
2.89,7421,1.61451
2.9,7408,1.61998
2.91,7438,1.62392
2.92,7490,1.62757
2.93,7479,1.61123
2.94,7528,1.61483
2.95,7561,1.61813
2.96,7624,1.57938
2.97,7641,1.58084
2.98,7677,1.52334
2.99,7691,1.52587
3,7686,1.52811
3.01,7682,1.53092
3.02,7694,1.53288
3.03,7688,1.53457
3.04,7696,1.53597
3.05,7694,1.5385
3.06,7699,1.54018
3.07,7726,1.54186
3.08,7736,1.54327
3.09,7750,1.54411
3.1,7771,1.54607
3.11,7818,1.54607
3.12,7792,1.54664
3.13,7783,1.54051
3.14,7772,1.54163
3.15,7771,1.54219
3.16,7750,1.54302
3.17,7719,1.46363
3.18,7745,1.46443
3.19,7738,1.46469
3.2,7756,1.46496
3.21,7730,1.45486
3.22,7729,1.45565
3.23,7737,1.45591
3.24,7779,1.4567
3.25,7771,1.45749
3.26,7756,1.45775
3.27,7770,1.4588
3.28,7734,1.45985
3.29,7714,1.46064
3.3,7705,1.46117
3.31,7728,1.46196
3.32,7752,1.46327
3.33,7771,1.4481
3.34,7805,1.44862
3.35,7839,1.44547
3.36,7826,1.4478
3.37,7841,1.44962
3.38,7845,1.45195
3.39,7824,1.4535
3.4,7825,1.42684
3.41,7884,1.42862
3.42,7871,1.43065
3.43,7886,1.43293
3.44,7896,1.4342
3.45,7925,1.43725
3.46,7916,1.44005
3.47,7918,1.44259
3.48,7926,1.44614
3.49,7946,1.44919
3.5,7914,1.45122
3.51,7952,1.45401
3.52,8002,1.45732
3.53,7987,1.46062
3.54,8000,1.46519
3.55,8019,1.46748
3.56,8003,1.47103
3.57,7986,1.4756
3.58,8033,1.4789
3.59,8005,1.41312
3.6,8059,1.41747
3.61,8067,1.41716
3.62,8095,1.42101
3.63,8152,1.42583
3.64,8219,1.43112
3.65,8203,1.43738
3.66,8247,1.44243
3.67,8308,1.44917
3.68,8340,1.45422
3.69,8363,1.46096
3.7,8377,1.44264
3.71,8365,1.44305
3.72,8373,1.4494
3.73,8365,1.45692
3.74,8416,1.46492
3.75,8514,1.47103
3.76,8576,1.47785
3.77,8590,1.48373
3.78,8613,1.49149
3.79,8609,1.49831
3.8,8624,1.50536
3.81,8673,1.51547
3.82,8715,1.48658
3.83,8778,1.47498
3.84,8829,1.48313
3.85,8870,1.49036
3.86,8910,1.49738
3.87,8958,1.50326
3.88,8993,1.51004
3.89,9026,1.51728
3.9,9064,1.5252
3.91,9131,1.53357
3.92,9140,1.54058
3.93,9181,1.54804
3.94,9245,1.55664
3.95,9206,1.56478
3.96,9219,1.5736
3.97,9297,1.54804
3.98,9340,1.55801
3.99,9336,1.56266
4,9451,1.57063
4.01,9439,1.57927
4.02,9439,1.58436
4.03,9472,1.59344
4.04,9537,1.55757
4.05,9558,1.56467
4.06,9617,1.57156
4.07,9700,1.57996
4.08,9737,1.58685
4.09,9774,1.59395
4.1,9817,1.6017
4.11,9874,1.61074
4.12,9915,1.61914
4.13,9960,1.62969
4.14,10046,1.63679
4.15,10125,1.62564
4.16,10180,1.63308
4.17,10238,1.6403
4.18,10291,1.64625
4.19,10292,1.65304
4.2,10327,1.6609
4.21,10333,1.66706
4.22,10342,1.67556
4.23,10432,1.68193
4.24,10433,1.68888
4.25,10445,1.64424
4.26,10496,1.62478
4.27,10545,1.63025
4.28,10509,1.6345
4.29,10611,1.63896
4.3,10628,1.64544
4.31,10684,1.65111
4.32,10773,1.65496
4.33,10838,1.65901
4.34,10874,1.66387
4.35,10895,1.65278
4.36,10934,1.657
4.37,10901,1.66482
4.38,10905,1.67024
4.39,10842,1.67526
4.4,10887,1.67947
4.41,10891,1.68409
4.42,10905,1.6889
4.43,10946,1.69232
4.44,11035,1.69613
4.45,11021,1.70115
4.46,11053,1.70616
4.47,11125,1.71018
4.48,11152,1.65406
4.49,11158,1.65696
4.5,11236,1.66026
4.51,11301,1.65299
4.52,11274,1.61884
4.53,11234,1.62109
4.54,11231,1.62447
4.55,11230,1.62673
4.56,11232,1.62898
4.57,11286,1.62917
4.58,11365,1.63255
4.59,11419,1.63461
4.6,11480,1.63798
4.61,11555,1.64117
4.62,11549,1.64399
4.63,11562,1.64624
4.64,11598,1.65055
4.65,11566,1.65506
4.66,11485,1.65824
4.67,11515,1.66143
4.68,11559,1.66368
4.69,11586,1.66687
4.7,11575,1.66912
4.71,11650,1.67269
4.72,11658,1.6755
4.73,11664,1.67794
4.74,11627,1.68
4.75,11668,1.65059
4.76,11656,1.6528
4.77,11676,1.65537
4.78,11641,1.65685
4.79,11658,1.65887
4.8,11686,1.66181
4.81,11703,1.66512
4.82,11705,1.66844
4.83,11716,1.67009
4.84,11766,1.67267
4.85,11786,1.67506
4.86,11813,1.67782
4.87,11842,1.68168
4.88,11874,1.68426
4.89,11929,1.67408
4.9,11951,1.6284
4.91,11928,1.63053
4.92,11918,1.6323
4.93,11919,1.63585
4.94,11903,1.63886
4.95,11944,1.64046
4.96,11994,1.64241
4.97,12023,1.64524
4.98,12091,1.64737
4.99,12088,1.64472
